#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,17,13,0,4,48:19,29,39
2,Bayern München,FCB,16,11,5,0,37:7,30,38
3,VfB Stuttgart,VFB,16,12,1,3,37:17,20,37
4,FC Schalke 04,S04,17,10,4,3,29:13,16,34
5,Bayer Leverkusen,B04,16,9,4,3,32:12,20,31
6,Hertha BSC,BSC,17,9,3,5,21:18,3,30
7,Hamburger SV,HSV,16,8,5,3,23:11,12,29
8,VfL Wolfsburg,WOB,17,7,6,4,28:17,11,27
9,Borussia Dortmund,BVB,16,7,5,4,27:20,7,26
10,Energie Cottbus,FCE,17,8,2,7,25:20,5,26
11,Hannover 96,H96,16,7,5,4,28:27,1,26
12,Arminia Bielefeld,DSC,17,7,4,6,21:18,3,25
13,Eintracht Frankfurt,SGE,16,7,4,5,20:22,-2,25
14,VfL Bochum,BOC,16,5,9,2,31:26,5,24
15,Karlsruher SC,KSC,17,6,6,5,23:22,1,24
16,1. FC Nürnberg,FCN,16,5,7,4,21:16,5,22
17,FC Hansa Rostock,ROS,17,5,4,8,17:21,-4,19
18,MSV Duisburg,MSV,17,3,3,11,19:29,-10,12
