#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Eintracht Frankfurt,SGE,3,3,0,0,4:1,3,9
2,Bayern München,FCB,3,2,1,0,7:1,6,7
3,Bayer Leverkusen,B04,3,2,1,0,5:0,5,7
4,Arminia Bielefeld,DSC,3,2,1,0,8:4,4,7
5,VfB Stuttgart,VFB,3,2,1,0,6:2,4,7
6,Borussia Dortmund,BVB,3,2,0,1,7:3,4,6
7,Hertha BSC,BSC,2,2,0,0,5:2,3,6
8,FC Schalke 04,S04,2,1,1,0,5:2,3,4
9,VfL Bochum,BOC,2,1,1,0,4:3,1,4
10,Hamburger SV,HSV,2,1,1,0,2:1,1,4
11,MSV Duisburg,MSV,3,1,0,2,5:5,0,3
12,Hannover 96,H96,2,1,0,1,3:3,0,3
13,Karlsruher SC,KSC,2,1,0,1,2:2,0,3
14,Werder Bremen,SVW,2,1,0,1,2:5,-3,3
15,Energie Cottbus,FCE,2,0,1,1,2:3,-1,1
16,VfL Wolfsburg,WOB,3,0,1,2,3:6,-3,1
17,1. FC Nürnberg,FCN,3,0,1,2,2:5,-3,1
18,FC Hansa Rostock,ROS,2,0,0,2,1:3,-2,0
