#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,14,11,1,2,31:10,21,34
2,Bayer Leverkusen,B04,14,10,3,1,29:13,16,33
3,1. FSV Mainz 05,M05,14,9,1,4,27:20,7,28
4,Bayern München,FCB,14,5,4,5,23:24,-1,19
5,Hannover 96,H96,14,6,1,7,13:25,-12,19
6,Hamburger SV,HSV,15,5,3,7,16:24,-8,18
7,Eintracht Frankfurt,SGE,14,4,3,7,17:18,-1,15
8,1. FC Nürnberg,FCN,14,3,6,5,16:21,-5,15
9,SC Freiburg,SCF,14,4,3,7,15:21,-6,15
10,FC Schalke 04,S04,14,4,3,7,11:19,-8,15
11,1899 Hoffenheim,TSG,14,3,5,6,17:23,-6,14
12,Bor. Mönchengladbach,BMG,14,4,2,8,20:32,-12,14
13,VfB Stuttgart,VFB,14,3,4,7,21:28,-7,13
14,1. FC Kaiserslautern,FCK,14,4,1,9,16:29,-13,13
15,FC St. Pauli,STP,13,4,1,8,10:25,-15,13
16,Werder Bremen,SVW,14,3,4,7,15:33,-18,13
17,VfL Wolfsburg,WOB,14,2,5,7,12:20,-8,11
18,1. FC Köln,KOE,14,1,3,10,13:32,-19,6
