#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,14,13,0,1,44:6,38,39
2,Borussia Dortmund,BVB,14,12,2,0,39:11,28,38
3,Bor. Mönchengladbach,BMG,15,11,1,3,37:16,21,34
4,Hertha BSC,BSC,14,9,4,1,21:9,12,31
5,VfL Wolfsburg,WOB,14,8,4,2,28:13,15,28
6,FC Schalke 04,S04,14,8,3,3,23:18,5,27
7,1. FSV Mainz 05,M05,14,8,2,4,21:15,6,26
8,Bayer Leverkusen,B04,14,7,3,4,23:14,9,24
9,FC Ingolstadt 04,FCI,14,6,4,4,18:14,4,22
10,VfB Stuttgart,VFB,14,6,1,7,20:23,-3,19
11,Eintracht Frankfurt,SGE,14,4,6,4,19:21,-2,18
12,1899 Hoffenheim,TSG,14,4,6,4,17:19,-2,18
13,Hamburger SV,HSV,14,4,4,6,17:19,-2,16
14,1. FC Köln,KOE,14,4,4,6,12:15,-3,16
15,FC Augsburg,FCA,14,2,5,7,16:24,-8,11
15,Werder Bremen,SVW,13,2,5,6,16:24,-8,11
17,SV Darmstadt 98,D98,14,1,6,7,12:25,-13,9
18,Hannover 96,H96,14,2,0,12,11:27,-16,6
