#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,2,2,0,0,4:1,3,6
1,Hannover 96,H96,2,2,0,0,4:1,3,6
3,Bor. Mönchengladbach,BMG,2,1,1,0,5:2,3,4
4,Bayer Leverkusen,B04,2,1,1,0,7:5,2,4
5,1899 Hoffenheim,TSG,2,1,1,0,3:1,2,4
6,Borussia Dortmund,BVB,2,1,0,1,3:3,0,3
7,Eintracht Frankfurt,SGE,2,1,0,1,1:1,0,3
8,SC Paderborn 07,SCP,2,0,2,0,2:2,0,2
9,VfL Wolfsburg,WOB,1,0,1,0,2:2,0,1
10,FC Schalke 04,S04,1,0,1,0,1:1,0,1
10,Werder Bremen,SVW,1,0,1,0,1:1,0,1
12,1. FC Köln,KOE,1,0,1,0,0:0,0,1
12,1. FSV Mainz 05,M05,1,0,1,0,0:0,0,1
12,SC Freiburg,SCF,1,0,1,0,0:0,0,1
15,Hertha BSC,BSC,2,0,1,1,3:5,-2,1
16,FC Augsburg,FCA,1,0,0,1,2:3,-1,0
17,VfB Stuttgart,VFB,1,0,0,1,0:2,-2,0
18,Hamburger SV,HSV,1,0,0,1,0:3,-3,0
