#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,16,10,3,3,31:13,18,33
2,Bayer Leverkusen,B04,16,8,7,1,27:17,10,31
3,Hamburger SV,HSV,16,7,7,2,33:18,15,28
4,Werder Bremen,SVW,16,7,5,4,34:22,12,26
5,TSV 1860 München,M60,16,7,5,4,26:20,6,26
6,Borussia Dortmund,BVB,16,6,7,3,20:13,7,25
7,VfB Stuttgart,VFB,16,7,3,6,19:18,1,24
8,1. FC Kaiserslautern,FCK,16,7,2,7,20:28,-8,23
9,Hertha BSC,BSC,16,5,7,4,22:24,-2,22
10,FC Schalke 04,S04,16,4,9,3,21:19,2,21
11,SpVgg Unterhaching,UNT,16,5,5,6,17:18,-1,20
12,VfL Wolfsburg,WOB,16,5,5,6,21:29,-8,20
13,SC Freiburg,SCF,16,5,4,7,23:22,1,19
14,FC Hansa Rostock,ROS,16,4,5,7,22:35,-13,17
15,SSV Ulm 1846,ULM,16,4,4,8,16:25,-9,16
16,MSV Duisburg,MSV,16,2,7,7,17:24,-7,13
17,Arminia Bielefeld,DSC,16,2,5,9,12:29,-17,11
18,Eintracht Frankfurt,SGE,16,3,2,11,17:24,-7,9
