#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,5,3,2,0,7:3,4,11
2,Hamburger SV,HSV,5,3,1,1,13:6,7,10
3,Borussia Dortmund,BVB,5,3,1,1,7:3,4,10
4,Bayern München,FCB,5,3,1,1,7:6,1,10
5,Werder Bremen,SVW,5,2,2,1,13:4,9,8
6,SC Freiburg,SCF,5,2,2,1,12:5,7,8
7,VfL Wolfsburg,WOB,5,2,1,2,7:10,-3,7
8,FC Schalke 04,S04,5,2,1,2,6:7,-1,7
9,Arminia Bielefeld,DSC,5,1,3,1,4:4,0,6
10,Hertha BSC,BSC,5,1,3,1,8:9,-1,6
11,SpVgg Unterhaching,UNT,5,2,0,3,4:5,-1,6
12,TSV 1860 München,M60,5,2,0,3,7:9,-2,6
13,1. FC Kaiserslautern,FCK,5,2,0,3,5:11,-6,6
14,FC Hansa Rostock,ROS,5,2,0,3,8:15,-7,6
15,Eintracht Frankfurt,SGE,5,2,1,2,9:8,1,5
16,SSV Ulm 1846,ULM,5,1,1,3,5:8,-3,4
17,VfB Stuttgart,VFB,5,1,1,3,5:9,-4,4
18,MSV Duisburg,MSV,5,0,2,3,5:10,-5,2
