#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,3,3,0,0,8:4,4,9
2,Eintracht Frankfurt,SGE,3,3,0,0,4:1,3,9
3,FC Schalke 04,S04,3,2,1,0,8:2,6,7
4,Bayern München,FCB,3,2,1,0,7:1,6,7
5,Bayer Leverkusen,B04,3,2,1,0,5:0,5,7
6,Arminia Bielefeld,DSC,3,2,1,0,8:4,4,7
7,VfB Stuttgart,VFB,3,2,1,0,6:2,4,7
8,Hamburger SV,HSV,3,2,1,0,3:1,2,7
9,Borussia Dortmund,BVB,3,2,0,1,7:3,4,6
10,Werder Bremen,SVW,3,2,0,1,6:6,0,6
11,VfL Bochum,BOC,3,1,2,0,4:3,1,5
12,MSV Duisburg,MSV,3,1,0,2,5:5,0,3
13,FC Hansa Rostock,ROS,3,1,0,2,3:3,0,3
14,Hannover 96,H96,3,1,0,2,3:6,-3,3
14,Karlsruher SC,KSC,3,1,0,2,3:6,-3,3
16,Energie Cottbus,FCE,3,0,1,2,3:5,-2,1
17,VfL Wolfsburg,WOB,3,0,1,2,3:6,-3,1
18,1. FC Nürnberg,FCN,3,0,1,2,2:5,-3,1
