#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bor. Mönchengladbach,BMG,12,9,2,1,29:14,15,29
2,Borussia Dortmund,BVB,11,8,3,0,40:10,30,27
3,Bayern München,FCB,12,8,2,2,36:11,25,26
4,RB Leipzig,RBL,11,7,3,1,31:12,19,24
5,Bayer Leverkusen,B04,12,6,4,2,21:13,8,22
6,Eintracht Frankfurt,SGE,12,6,3,3,27:16,11,21
7,FC Schalke 04,S04,12,5,5,2,17:17,0,20
8,FC Augsburg,FCA,11,5,3,3,22:18,4,18
9,1. FC Union Berlin,FCU,11,6,0,5,16:14,2,18
10,VfL Wolfsburg,WOB,12,4,5,3,16:13,3,17
11,SC Freiburg,SCF,11,5,2,4,13:13,0,17
12,1. FC Köln,KOE,11,5,1,5,17:16,1,16
13,1899 Hoffenheim,TSG,12,5,1,6,19:25,-6,16
14,Fortuna Düsseldorf,F95,11,3,2,6,10:20,-10,11
15,Hertha BSC,BSC,12,3,2,7,12:26,-14,11
16,1. FSV Mainz 05,M05,11,3,1,7,12:20,-8,10
17,SC Paderborn 07,SCP,12,2,1,9,16:29,-13,7
18,Werder Bremen,SVW,11,1,2,8,8:26,-18,5
