#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,28,17,9,2,60:30,30,60
2,Bayern München,FCB,28,17,7,4,59:23,36,58
3,Hamburger SV,HSV,28,15,9,4,59:30,29,54
4,Werder Bremen,SVW,28,12,7,9,59:44,15,43
5,1. FC Kaiserslautern,FCK,28,13,4,11,42:49,-7,43
6,Hertha BSC,BSC,28,11,9,8,35:40,-5,42
7,TSV 1860 München,M60,28,11,8,9,43:41,2,41
8,VfL Wolfsburg,WOB,28,10,11,7,46:49,-3,41
9,VfB Stuttgart,VFB,28,12,3,13,33:39,-6,39
10,FC Schalke 04,S04,28,8,11,9,38:37,1,35
11,SpVgg Unterhaching,UNT,28,9,7,12,33:36,-3,34
12,SC Freiburg,SCF,28,8,9,11,39:43,-4,33
13,Borussia Dortmund,BVB,28,7,11,10,32:30,2,32
14,FC Hansa Rostock,ROS,28,6,12,10,35:49,-14,30
15,SSV Ulm 1846,ULM,28,8,6,14,30:52,-22,30
16,Eintracht Frankfurt,SGE,28,8,5,15,31:38,-7,27
17,MSV Duisburg,MSV,28,4,8,16,32:54,-22,20
18,Arminia Bielefeld,DSC,28,4,8,16,29:51,-22,20
