#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,6,4,2,0,10:4,6,14
2,Borussia Dortmund,BVB,6,4,1,1,8:3,5,13
3,Hamburger SV,HSV,6,3,2,1,15:8,7,11
4,Bayern München,FCB,6,3,1,2,7:7,0,10
5,Werder Bremen,SVW,6,2,3,1,15:6,9,9
6,Arminia Bielefeld,DSC,6,2,3,1,6:5,1,9
7,SC Freiburg,SCF,6,2,2,2,13:7,6,8
8,VfL Wolfsburg,WOB,6,2,2,2,9:12,-3,8
9,FC Schalke 04,S04,6,2,2,2,7:8,-1,8
10,Hertha BSC,BSC,6,1,4,1,9:10,-1,7
11,SpVgg Unterhaching,UNT,6,2,1,3,5:6,-1,7
12,TSV 1860 München,M60,6,2,1,3,7:9,-2,7
13,VfB Stuttgart,VFB,6,2,1,3,6:9,-3,7
14,FC Hansa Rostock,ROS,6,2,1,3,8:15,-7,7
15,1. FC Kaiserslautern,FCK,6,2,0,4,6:14,-8,6
16,SSV Ulm 1846,ULM,6,1,2,3,7:10,-3,5
17,Eintracht Frankfurt,SGE,6,2,1,3,9:9,0,5
18,MSV Duisburg,MSV,6,0,3,3,6:11,-5,3
