#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,23,15,4,4,47:18,29,49
2,Bayer Leverkusen,B04,23,13,8,2,41:25,16,47
3,Hamburger SV,HSV,23,11,9,3,52:28,24,42
4,TSV 1860 München,M60,23,10,6,7,38:34,4,36
5,Hertha BSC,BSC,23,9,7,7,31:37,-6,34
6,Werder Bremen,SVW,23,9,6,8,47:37,10,33
7,VfB Stuttgart,VFB,23,10,3,10,28:28,0,33
8,VfL Wolfsburg,WOB,23,8,9,6,34:38,-4,33
9,1. FC Kaiserslautern,FCK,23,10,3,10,32:41,-9,33
10,Borussia Dortmund,BVB,23,7,11,5,28:19,9,32
11,FC Schalke 04,S04,23,7,10,6,32:29,3,31
12,SpVgg Unterhaching,UNT,23,8,5,10,25:27,-2,29
13,SSV Ulm 1846,ULM,23,7,6,10,27:34,-7,27
14,SC Freiburg,SCF,23,6,8,9,30:31,-1,26
15,FC Hansa Rostock,ROS,23,5,9,9,31:45,-14,24
16,Eintracht Frankfurt,SGE,23,6,3,14,27:36,-9,19
17,MSV Duisburg,MSV,23,3,7,13,24:46,-22,16
18,Arminia Bielefeld,DSC,23,3,6,14,20:41,-21,15
