#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,27,20,4,3,62:19,43,64
2,Bayer Leverkusen,B04,27,15,9,3,53:23,30,54
3,1. FC Kaiserslautern,FCK,27,14,6,7,41:37,4,48
4,Hertha BSC,BSC,27,13,6,8,40:27,13,45
5,VfL Wolfsburg,WOB,27,12,9,6,44:33,11,45
6,Borussia Dortmund,BVB,27,12,8,7,37:26,11,44
7,TSV 1860 München,M60,27,10,7,10,39:37,2,37
8,MSV Duisburg,MSV,27,9,9,9,34:37,-3,36
9,Hamburger SV,HSV,27,9,9,9,30:34,-4,36
10,FC Schalke 04,S04,27,8,10,9,30:38,-8,34
11,VfB Stuttgart,VFB,27,7,12,8,34:35,-1,33
12,Werder Bremen,SVW,27,7,8,12,31:36,-5,29
13,VfL Bochum,BOC,27,7,8,12,35:45,-10,29
14,1. FC Nürnberg,FCN,27,5,13,9,30:42,-12,28
15,SC Freiburg,SCF,27,6,9,12,27:35,-8,27
16,FC Hansa Rostock,ROS,27,6,8,13,35:49,-14,26
17,Eintracht Frankfurt,SGE,27,5,8,14,28:44,-16,23
18,Bor. Mönchengladbach,BMG,27,3,7,17,29:62,-33,16
