#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,24,19,3,2,57:15,42,60
2,Bayer Leverkusen,B04,24,12,9,3,45:21,24,45
3,1. FC Kaiserslautern,FCK,24,13,6,5,37:32,5,45
4,Hertha BSC,BSC,24,12,5,7,37:24,13,41
5,Borussia Dortmund,BVB,24,11,7,6,35:23,12,40
6,TSV 1860 München,M60,24,10,7,7,39:32,7,37
7,VfL Wolfsburg,WOB,24,9,9,6,40:32,8,36
8,VfB Stuttgart,VFB,24,7,10,7,31:30,1,31
9,Hamburger SV,HSV,24,8,7,9,27:32,-5,31
10,MSV Duisburg,MSV,24,7,9,8,27:33,-6,30
11,SC Freiburg,SCF,24,6,9,9,26:29,-3,27
12,FC Schalke 04,S04,24,6,9,9,26:37,-11,27
13,Werder Bremen,SVW,24,6,7,11,29:34,-5,25
14,VfL Bochum,BOC,24,6,6,12,28:40,-12,24
15,Eintracht Frankfurt,SGE,24,5,8,11,26:38,-12,23
16,1. FC Nürnberg,FCN,24,4,11,9,28:42,-14,23
17,FC Hansa Rostock,ROS,24,4,8,12,31:47,-16,20
18,Bor. Mönchengladbach,BMG,24,3,6,15,26:54,-28,15
