#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,10,1,1,32:10,22,31
2,Bayer Leverkusen,B04,12,6,5,1,26:14,12,23
3,TSV 1860 München,M60,12,7,2,3,24:16,8,23
4,1. FC Kaiserslautern,FCK,12,6,3,3,19:22,-3,21
5,Borussia Dortmund,BVB,12,5,4,3,18:13,5,19
6,VfL Wolfsburg,WOB,12,4,5,3,23:17,6,17
7,Hamburger SV,HSV,12,4,5,3,17:15,2,17
8,Hertha BSC,BSC,12,5,2,5,16:14,2,17
9,VfL Bochum,BOC,12,5,2,5,17:16,1,17
10,VfB Stuttgart,VFB,12,4,4,4,17:14,3,16
11,SC Freiburg,SCF,12,3,6,3,15:16,-1,15
12,Eintracht Frankfurt,SGE,12,3,4,5,17:20,-3,13
13,1. FC Nürnberg,FCN,12,2,7,3,17:22,-5,13
14,MSV Duisburg,MSV,12,2,6,4,13:20,-7,12
15,FC Schalke 04,S04,12,2,5,5,12:19,-7,11
16,Werder Bremen,SVW,12,2,4,6,16:20,-4,10
17,FC Hansa Rostock,ROS,12,2,3,7,17:27,-10,9
18,Bor. Mönchengladbach,BMG,12,1,2,9,15:36,-21,5
