#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,20,16,1,3,65:19,46,49
2,Borussia Dortmund,BVB,20,14,1,5,52:31,21,43
3,Bayer Leverkusen,B04,20,10,5,5,49:32,17,35
4,1. FC Union Berlin,FCU,20,9,7,4,29:25,4,34
5,SC Freiburg,SCF,20,9,6,5,33:23,10,33
6,RB Leipzig,RBL,20,9,4,7,38:23,15,31
7,1899 Hoffenheim,TSG,20,9,4,7,41:32,9,31
8,1. FC Köln,KOE,20,7,8,5,32:34,-2,29
9,Eintracht Frankfurt,SGE,20,7,7,6,30:30,0,28
10,1. FSV Mainz 05,M05,20,8,3,9,28:23,5,27
11,VfL Bochum,BOC,20,7,3,10,19:29,-10,24
12,Bor. Mönchengladbach,BMG,20,6,4,10,26:37,-11,22
13,Hertha BSC,BSC,20,6,4,10,22:42,-20,22
14,Arminia Bielefeld,DSC,20,4,9,7,20:26,-6,21
15,VfL Wolfsburg,WOB,20,6,3,11,17:32,-15,21
16,FC Augsburg,FCA,20,4,7,9,20:35,-15,19
17,VfB Stuttgart,VFB,20,4,6,10,22:35,-13,18
18,SpVgg Greuther Fürth,SGF,20,2,4,14,17:52,-35,10
