#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,9,7,1,1,31:13,18,22
2,RB Leipzig,RBL,9,6,2,1,18:6,12,20
3,Bayer Leverkusen,B04,9,5,4,0,16:9,7,19
4,Borussia Dortmund,BVB,9,6,0,3,21:9,12,18
5,VfL Wolfsburg,WOB,9,4,5,0,14:8,6,17
6,1. FC Union Berlin,FCU,9,4,4,1,21:11,10,16
7,Bor. Mönchengladbach,BMG,9,4,3,2,17:14,3,15
8,FC Augsburg,FCA,9,3,3,3,11:12,-1,12
9,Eintracht Frankfurt,SGE,9,2,6,1,14:16,-2,12
10,VfB Stuttgart,VFB,9,2,5,2,17:15,2,11
11,Werder Bremen,SVW,9,2,5,2,13:15,-2,11
12,1899 Hoffenheim,TSG,9,2,3,4,15:16,-1,9
13,Hertha BSC,BSC,9,2,2,5,15:18,-3,8
14,SC Freiburg,SCF,9,1,4,4,10:20,-10,7
15,1. FC Köln,KOE,9,1,3,5,10:15,-5,6
16,1. FSV Mainz 05,M05,9,1,2,6,11:22,-11,5
17,Arminia Bielefeld,DSC,9,1,1,7,6:19,-13,4
18,FC Schalke 04,S04,9,0,3,6,6:28,-22,3
