#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Hertha BSC,BSC,2,2,0,0,8:0,8,6
2,Eintracht Frankfurt,SGE,2,2,0,0,7:0,7,6
3,Bayern München,FCB,2,2,0,0,7:2,5,6
4,VfL Wolfsburg,WOB,2,2,0,0,6:1,5,6
5,VfB Stuttgart,VFB,2,2,0,0,6:2,4,6
6,FC Schalke 04,S04,2,2,0,0,5:1,4,6
7,Bayer Leverkusen,B04,2,2,0,0,3:0,3,6
8,SC Freiburg,SCF,2,1,1,0,4:0,4,4
9,1. FC Köln,KOE,2,1,1,0,5:2,3,4
10,Hamburger SV,HSV,2,1,1,0,4:3,1,4
11,TSV 1860 München,M60,2,1,1,0,3:2,1,4
12,Werder Bremen,SVW,2,1,0,1,4:3,1,3
13,Borussia Dortmund,BVB,2,1,0,1,3:3,0,3
14,1. FC Kaiserslautern,FCK,2,1,0,1,1:1,0,3
15,Energie Cottbus,FCE,2,1,0,1,3:4,-1,3
16,SpVgg Unterhaching,UNT,2,0,2,0,1:1,0,2
17,FC Hansa Rostock,ROS,2,0,1,1,0:4,-4,1
18,VfL Bochum,BOC,2,0,0,2,0:7,-7,0
