#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,11,9,0,2,28:12,16,27
2,FC Schalke 04,S04,10,8,2,0,21:6,15,26
3,Bayer Leverkusen,B04,10,8,1,1,23:5,18,25
4,Werder Bremen,SVW,11,7,3,1,21:11,10,24
5,Borussia Dortmund,BVB,11,7,1,3,18:12,6,22
6,1. FC Köln,KOE,12,6,3,3,26:14,12,21
7,1. FC Kaiserslautern,FCK,11,6,3,2,16:8,8,21
8,Energie Cottbus,FCE,12,7,0,5,19:16,3,21
9,VfL Wolfsburg,WOB,12,5,5,2,26:14,12,20
10,VfB Stuttgart,VFB,12,5,5,2,25:15,10,20
11,Hamburger SV,HSV,10,6,1,3,22:12,10,19
12,Hertha BSC,BSC,11,6,1,4,27:20,7,19
13,Eintracht Frankfurt,SGE,10,6,1,3,18:13,5,19
14,SpVgg Unterhaching,UNT,12,5,4,3,14:12,2,19
15,SC Freiburg,SCF,10,5,3,2,19:5,14,18
16,TSV 1860 München,M60,11,5,3,3,15:16,-1,18
17,FC Hansa Rostock,ROS,11,4,3,4,13:16,-3,15
18,VfL Bochum,BOC,11,4,2,5,14:19,-5,14
