#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,2,2,0,0,6:0,6,6
2,Hertha BSC,BSC,2,2,0,0,5:0,5,6
3,Werder Bremen,SVW,2,1,1,0,6:3,3,4
4,Hamburger SV,HSV,2,1,1,0,4:1,3,4
5,Hannover 96,H96,2,1,1,0,4:2,2,4
6,VfL Wolfsburg,WOB,2,1,1,0,4:3,1,4
7,Bor. Mönchengladbach,BMG,2,1,1,0,3:2,1,4
7,FC Schalke 04,S04,2,1,1,0,3:2,1,4
9,1. FC Köln,KOE,2,1,0,1,3:3,0,3
9,Borussia Dortmund,BVB,2,1,0,1,3:3,0,3
11,Arminia Bielefeld,DSC,2,1,0,1,2:2,0,3
12,1. FC Kaiserslautern,FCK,2,1,0,1,6:8,-2,3
13,Eintracht Frankfurt,SGE,2,1,0,1,2:4,-2,3
14,MSV Duisburg,MSV,2,0,2,0,2:2,0,2
15,VfB Stuttgart,VFB,2,0,1,1,3:4,-1,1
16,1. FC Nürnberg,FCN,2,0,1,1,2:3,-1,1
17,Bayer Leverkusen,B04,2,0,1,1,3:6,-3,1
18,1. FSV Mainz 05,M05,2,0,0,2,1:5,-4,0
