#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,10,0,0,23:4,19,30
2,Werder Bremen,SVW,11,8,2,1,34:15,19,26
3,Hamburger SV,HSV,11,8,2,1,18:6,12,26
4,FC Schalke 04,S04,10,6,4,0,19:8,11,22
5,Bor. Mönchengladbach,BMG,12,6,4,2,18:12,6,22
6,Borussia Dortmund,BVB,12,6,2,4,16:12,4,20
7,Hertha BSC,BSC,11,5,4,2,20:11,9,19
8,Bayer Leverkusen,B04,12,5,4,3,19:16,3,19
9,1. FSV Mainz 05,M05,11,4,4,3,23:17,6,16
10,Hannover 96,H96,11,3,7,1,19:14,5,16
11,Arminia Bielefeld,DSC,11,5,1,5,15:12,3,16
12,VfL Wolfsburg,WOB,10,3,6,1,11:8,3,15
13,VfB Stuttgart,VFB,12,3,6,3,15:14,1,15
14,Eintracht Frankfurt,SGE,11,4,2,5,16:14,2,14
15,MSV Duisburg,MSV,10,2,6,2,10:11,-1,12
16,1. FC Nürnberg,FCN,11,3,3,5,12:14,-2,12
17,1. FC Kaiserslautern,FCK,12,3,3,6,20:29,-9,12
18,1. FC Köln,KOE,10,2,3,5,10:17,-7,9
