#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FSV Mainz 05,M05,2,1,1,0,5:3,2,4
2,1899 Hoffenheim,TSG,2,1,1,0,3:1,2,4
3,1. FC Köln,KOE,2,1,1,0,2:0,2,4
4,SC Paderborn 07,SCP,1,1,0,0,3:0,3,3
5,Bayer Leverkusen,B04,2,1,0,1,3:4,-1,3
5,Borussia Dortmund,BVB,2,1,0,1,3:4,-1,3
7,FC Augsburg,FCA,2,1,0,1,1:2,-1,3
8,Eintracht Frankfurt,SGE,2,0,2,0,4:4,0,2
9,Bayern München,FCB,2,0,2,0,1:1,0,2
10,Bor. Mönchengladbach,BMG,2,0,2,0,0:0,0,2
11,Werder Bremen,SVW,3,0,2,1,7:9,-2,2
12,VfL Wolfsburg,WOB,2,0,1,1,2:3,-1,1
13,Hertha BSC,BSC,2,0,1,1,4:6,-2,1
14,VfB Stuttgart,VFB,2,0,1,1,1:3,-2,1
15,Hamburger SV,HSV,2,0,1,1,0:2,-2,1
15,Hannover 96,H96,2,0,1,1,0:2,-2,1
17,SC Freiburg,SCF,2,0,0,2,1:4,-3,0
18,FC Schalke 04,S04,2,0,0,2,2:6,-4,0
