#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Werder Bremen,SVW,5,3,1,1,17:6,11,10
2,VfB Stuttgart,VFB,4,2,2,0,9:7,2,8
3,Borussia Dortmund,BVB,5,2,1,2,7:7,0,7
4,1. FC Nürnberg,FCN,4,1,3,0,6:3,3,6
5,Energie Cottbus,FCE,4,2,0,2,4:6,-2,6
6,Alemannia Aachen,AAC,5,2,0,3,8:11,-3,6
7,FC Schalke 04,S04,5,2,0,3,4:9,-5,6
8,Hamburger SV,HSV,4,1,2,1,6:6,0,5
9,VfL Wolfsburg,WOB,5,1,2,2,3:6,-3,5
10,Hannover 96,H96,5,1,2,2,5:9,-4,5
11,Eintracht Frankfurt,SGE,5,0,4,1,4:6,-2,4
12,Bayer Leverkusen,B04,5,1,1,3,5:9,-4,4
13,Bayern München,FCB,4,1,0,3,4:7,-3,3
14,Hertha BSC,BSC,5,0,3,2,4:8,-4,3
15,VfL Bochum,BOC,4,0,2,2,4:6,-2,2
16,Arminia Bielefeld,DSC,4,0,2,2,3:5,-2,2
17,1. FSV Mainz 05,M05,4,0,2,2,2:5,-3,2
18,Bor. Mönchengladbach,BMG,4,0,0,4,3:10,-7,0
