#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1899 Hoffenheim,TSG,2,2,0,0,4:0,4,6
2,FC Schalke 04,S04,2,1,1,0,4:1,3,4
3,Hertha BSC,BSC,2,1,1,0,3:1,2,4
4,Borussia Dortmund,BVB,2,1,1,0,4:3,1,4
4,Hamburger SV,HSV,2,1,1,0,4:3,1,4
4,VfL Wolfsburg,WOB,2,1,1,0,4:3,1,4
7,Bayer Leverkusen,B04,2,1,0,1,4:3,1,3
8,VfB Stuttgart,VFB,2,1,0,1,3:3,0,3
9,Karlsruher SC,KSC,2,1,0,1,2:2,0,3
10,Arminia Bielefeld,DSC,2,0,2,0,3:3,0,2
10,Bayern München,FCB,2,0,2,0,3:3,0,2
10,Werder Bremen,SVW,2,0,2,0,3:3,0,2
13,1. FC Köln,KOE,2,0,1,1,2:3,-1,1
13,VfL Bochum,BOC,2,0,1,1,2:3,-1,1
15,Eintracht Frankfurt,SGE,2,0,1,1,1:3,-2,1
16,Energie Cottbus,FCE,2,0,1,1,0:3,-3,1
16,Hannover 96,H96,2,0,1,1,0:3,-3,1
18,Bor. Mönchengladbach,BMG,2,0,0,2,1:4,-3,0
