#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,FC Schalke 04,S04,3,2,1,0,5:1,4,7
2,Hamburger SV,HSV,3,2,1,0,8:5,3,7
3,Borussia Dortmund,BVB,3,2,1,0,5:3,2,7
4,Bayer Leverkusen,B04,3,2,0,1,9:5,4,6
5,VfB Stuttgart,VFB,3,2,0,1,5:3,2,6
6,1899 Hoffenheim,TSG,3,2,0,1,6:5,1,6
7,Bayern München,FCB,3,1,2,0,7:4,3,5
8,VfL Wolfsburg,WOB,3,1,2,0,6:5,1,5
9,1. FC Köln,KOE,3,1,1,1,4:3,1,4
10,Hertha BSC,BSC,3,1,1,1,4:5,-1,4
11,Bor. Mönchengladbach,BMG,3,1,0,2,4:6,-2,3
12,Karlsruher SC,KSC,3,1,0,2,2:4,-2,3
13,Werder Bremen,SVW,3,0,2,1,5:6,-1,2
14,Arminia Bielefeld,DSC,3,0,2,1,5:7,-2,2
15,Eintracht Frankfurt,SGE,3,0,2,1,3:5,-2,2
16,VfL Bochum,BOC,3,0,1,2,2:4,-2,1
17,Energie Cottbus,FCE,3,0,1,2,0:4,-4,1
18,Hannover 96,H96,3,0,1,2,0:5,-5,1
