#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfB Stuttgart,VFB,8,4,3,1,16:12,4,15
2,Werder Bremen,SVW,7,4,2,1,21:9,12,14
3,Hannover 96,H96,8,4,2,2,8:9,-1,14
4,FC Schalke 04,S04,8,4,1,3,10:11,-1,13
5,Borussia Dortmund,BVB,7,3,2,2,11:9,2,11
6,Bayern München,FCB,7,3,1,3,11:12,-1,10
6,Eintracht Frankfurt,SGE,8,2,4,2,11:12,-1,10
8,VfL Wolfsburg,WOB,8,2,3,3,5:8,-3,9
9,1. FC Nürnberg,FCN,7,1,5,1,9:7,2,8
10,Bayer Leverkusen,B04,8,2,2,4,10:13,-3,8
11,Energie Cottbus,FCE,7,2,2,3,6:10,-4,8
12,Alemannia Aachen,AAC,7,2,1,4,9:13,-4,7
13,Hertha BSC,BSC,8,1,4,3,9:14,-5,7
14,VfL Bochum,BOC,7,1,3,3,10:11,-1,6
15,Arminia Bielefeld,DSC,7,1,3,3,7:9,-2,6
16,Hamburger SV,HSV,8,1,3,4,7:11,-4,6
17,1. FSV Mainz 05,M05,7,0,3,4,3:11,-8,3
18,Bor. Mönchengladbach,BMG,8,0,2,6,5:14,-9,2
