#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,8,0,0,25:2,23,24
2,VfL Wolfsburg,WOB,8,6,2,0,16:5,11,20
3,FC Schalke 04,S04,8,5,2,1,16:9,7,17
4,1899 Hoffenheim,TSG,8,5,2,1,19:14,5,17
5,Bayer Leverkusen,B04,8,4,4,0,17:9,8,16
6,FC Augsburg,FCA,7,5,0,2,15:10,5,15
7,Bor. Mönchengladbach,BMG,8,4,3,1,14:9,5,15
8,SC Paderborn 07,SCP,8,3,4,1,14:9,5,13
9,Eintracht Frankfurt,SGE,8,4,1,3,17:16,1,13
10,Hertha BSC,BSC,8,4,1,3,11:10,1,13
11,Hannover 96,H96,7,4,0,3,8:10,-2,12
12,Hamburger SV,HSV,7,3,2,2,7:7,0,11
13,1. FSV Mainz 05,M05,7,2,4,1,8:6,2,10
14,Borussia Dortmund,BVB,7,3,1,3,7:7,0,10
15,Werder Bremen,SVW,7,2,3,2,11:9,2,9
16,SC Freiburg,SCF,7,1,4,2,6:8,-2,7
17,1. FC Köln,KOE,7,1,2,4,4:8,-4,5
18,VfB Stuttgart,VFB,7,1,1,5,4:16,-12,4
