#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,2,2,0,0,5:0,5,6
2,Bayern München,FCB,2,2,0,0,5:1,4,6
3,Hamburger SV,HSV,2,2,0,0,4:1,3,6
4,Hannover 96,H96,2,2,0,0,2:0,2,6
5,1899 Hoffenheim,TSG,2,1,1,0,3:2,1,4
5,Bor. Mönchengladbach,BMG,2,1,1,0,3:2,1,4
7,RB Leipzig,RBL,2,1,0,1,4:3,1,3
8,FC Schalke 04,S04,2,1,0,1,2:1,1,3
9,Hertha BSC,BSC,2,1,0,1,2:2,0,3
10,VfB Stuttgart,VFB,2,1,0,1,1:2,-1,3
11,VfL Wolfsburg,WOB,2,1,0,1,1:3,-2,3
12,FC Augsburg,FCA,2,0,1,1,2:3,-1,1
13,Eintracht Frankfurt,SGE,2,0,1,1,0:1,-1,1
14,Bayer Leverkusen,B04,2,0,1,1,3:5,-2,1
15,SC Freiburg,SCF,2,0,1,1,1:4,-3,1
16,1. FSV Mainz 05,M05,2,0,0,2,0:2,-2,0
17,1. FC Köln,KOE,2,0,0,2,1:4,-3,0
18,Werder Bremen,SVW,2,0,0,2,0:3,-3,0
