#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,13,9,2,2,31:10,21,29
2,RB Leipzig,RBL,13,8,2,3,22:15,7,26
3,FC Schalke 04,S04,13,7,3,3,20:14,6,24
4,Bor. Mönchengladbach,BMG,13,7,3,3,23:22,1,24
5,Borussia Dortmund,BVB,13,6,3,4,33:20,13,21
6,Bayer Leverkusen,B04,13,5,5,3,26:18,8,20
7,1899 Hoffenheim,TSG,13,5,5,3,21:18,3,20
8,FC Augsburg,FCA,13,5,4,4,18:15,3,19
9,Eintracht Frankfurt,SGE,13,5,4,4,14:13,1,19
10,Hannover 96,H96,13,5,4,4,16:16,0,19
11,Hertha BSC,BSC,13,4,5,4,18:19,-1,17
12,VfB Stuttgart,VFB,13,5,2,6,13:16,-3,17
13,1. FSV Mainz 05,M05,13,4,3,6,14:19,-5,15
14,VfL Wolfsburg,WOB,13,2,8,3,17:19,-2,14
15,Hamburger SV,HSV,13,4,1,8,13:20,-7,13
16,SC Freiburg,SCF,13,2,5,6,9:25,-16,11
17,Werder Bremen,SVW,13,1,5,7,8:16,-8,8
18,1. FC Köln,KOE,13,0,2,11,4:25,-21,2
