#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,27,23,3,1,78:13,65,72
2,Borussia Dortmund,BVB,27,15,7,5,62:32,30,52
3,Bayer Leverkusen,B04,27,14,6,7,50:35,15,48
4,FC Schalke 04,S04,27,12,6,9,46:43,3,42
5,Eintracht Frankfurt,SGE,27,12,6,9,42:39,3,42
6,1. FSV Mainz 05,M05,27,10,9,8,34:30,4,39
7,SC Freiburg,SCF,27,10,9,8,35:33,2,39
8,Bor. Mönchengladbach,BMG,27,9,11,7,35:37,-2,38
9,Hamburger SV,HSV,27,11,5,11,32:43,-11,38
10,Hannover 96,H96,27,11,4,12,49:46,3,37
11,1. FC Nürnberg,FCN,27,8,11,8,31:34,-3,35
12,VfL Wolfsburg,WOB,27,8,8,11,32:42,-10,32
13,VfB Stuttgart,VFB,27,9,5,13,29:46,-17,32
14,Werder Bremen,SVW,27,8,7,12,43:52,-9,31
15,Fortuna Düsseldorf,F95,27,7,8,12,33:40,-7,29
16,FC Augsburg,FCA,27,5,9,13,23:40,-17,24
17,1899 Hoffenheim,TSG,27,5,5,17,30:52,-22,20
18,SpVgg Greuther Fürth,SGF,27,2,9,16,18:45,-27,15
