#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,2,2,0,0,9:1,8,6
2,Eintracht Frankfurt,SGE,2,2,0,0,6:1,5,6
3,Hannover 96,H96,2,1,1,0,6:2,4,4
4,FC Schalke 04,S04,2,1,1,0,5:3,2,4
5,Fortuna Düsseldorf,F95,2,1,1,0,2:0,2,4
6,Borussia Dortmund,BVB,2,1,1,0,3:2,1,4
7,1. FC Nürnberg,FCN,2,1,1,0,2:1,1,4
7,Bor. Mönchengladbach,BMG,2,1,1,0,2:1,1,4
9,Bayer Leverkusen,B04,2,1,0,1,3:2,1,3
9,Werder Bremen,SVW,2,1,0,1,3:2,1,3
11,SpVgg Greuther Fürth,SGF,2,1,0,1,1:3,-2,3
12,VfL Wolfsburg,WOB,2,1,0,1,1:4,-3,3
13,1. FSV Mainz 05,M05,2,0,1,1,1:2,-1,1
14,SC Freiburg,SCF,2,0,1,1,1:3,-2,1
15,Hamburger SV,HSV,2,0,0,2,0:3,-3,0
16,FC Augsburg,FCA,2,0,0,2,1:5,-4,0
17,1899 Hoffenheim,TSG,2,0,0,2,1:6,-5,0
18,VfB Stuttgart,VFB,2,0,0,2,1:7,-6,0
