#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,33,28,4,1,94:15,79,88
2,Borussia Dortmund,BVB,33,19,9,5,80:40,40,66
3,Bayer Leverkusen,B04,33,18,8,7,64:39,25,62
4,FC Schalke 04,S04,33,15,7,11,56:49,7,52
5,SC Freiburg,SCF,33,14,9,10,44:38,6,51
6,Eintracht Frankfurt,SGE,33,14,8,11,47:44,3,50
7,Hamburger SV,HSV,33,14,6,13,42:52,-10,48
8,Bor. Mönchengladbach,BMG,33,12,11,10,42:45,-3,47
9,Hannover 96,H96,33,12,6,15,57:62,-5,42
10,VfL Wolfsburg,WOB,33,10,12,11,45:50,-5,42
11,VfB Stuttgart,VFB,33,12,6,15,35:53,-18,42
12,1. FSV Mainz 05,M05,33,10,11,12,40:42,-2,41
13,1. FC Nürnberg,FCN,33,10,11,12,36:45,-9,41
14,Werder Bremen,SVW,33,8,10,15,48:63,-15,34
15,Fortuna Düsseldorf,F95,33,7,9,17,39:54,-15,30
16,FC Augsburg,FCA,33,7,9,17,30:50,-20,30
17,1899 Hoffenheim,TSG,33,7,7,19,40:66,-26,28
18,SpVgg Greuther Fürth,SGF,33,4,9,20,25:57,-32,21
