#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,15,11,4,0,36:15,21,37
2,Bayern München,FCB,14,10,3,1,42:13,29,33
3,Hamburger SV,HSV,14,10,3,1,34:9,25,33
4,Werder Bremen,SVW,15,9,3,3,36:22,14,30
5,TSV 1860 München,M60,14,9,2,3,29:17,12,29
6,Hertha BSC,BSC,14,8,5,1,23:11,12,29
7,SpVgg Unterhaching,UNT,14,8,4,2,18:9,9,28
8,FC Hansa Rostock,ROS,14,6,6,2,20:16,4,24
9,VfL Wolfsburg,WOB,14,7,3,4,24:23,1,24
10,SC Freiburg,SCF,14,6,4,4,24:15,9,22
11,SSV Ulm 1846,ULM,14,6,3,5,19:21,-2,21
12,FC Schalke 04,S04,14,4,8,2,19:13,6,20
13,1. FC Kaiserslautern,FCK,13,6,2,5,22:23,-1,20
14,Eintracht Frankfurt,SGE,13,5,3,5,19:13,6,18
15,Borussia Dortmund,BVB,14,4,6,4,19:16,3,18
16,VfB Stuttgart,VFB,14,5,1,8,17:23,-6,16
17,MSV Duisburg,MSV,14,2,6,6,17:19,-2,12
18,Arminia Bielefeld,DSC,14,2,6,6,18:21,-3,12
