#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,6,6,0,0,17:1,16,18
2,Bayer Leverkusen,B04,6,5,1,0,16:6,10,16
3,1. FC Kaiserslautern,FCK,6,5,1,0,14:6,8,16
4,FC Schalke 04,S04,6,5,1,0,13:5,8,16
5,Werder Bremen,SVW,6,4,1,1,10:6,4,13
6,Hertha BSC,BSC,6,4,0,2,13:7,6,12
7,VfB Stuttgart,VFB,6,3,3,0,7:1,6,12
8,SC Freiburg,SCF,6,3,2,1,12:7,5,11
9,Borussia Dortmund,BVB,6,3,1,2,8:5,3,10
10,VfL Wolfsburg,WOB,6,2,2,2,9:5,4,8
11,Hamburger SV,HSV,6,2,1,3,11:11,0,7
12,Energie Cottbus,FCE,6,2,1,3,7:11,-4,7
13,TSV 1860 München,M60,6,2,1,3,6:15,-9,7
14,Bor. Mönchengladbach,BMG,6,1,3,2,6:7,-1,6
15,1. FC Köln,KOE,6,2,0,4,5:11,-6,6
16,FC Hansa Rostock,ROS,6,1,2,3,5:8,-3,5
17,FC St. Pauli,STP,6,1,1,4,5:8,-3,4
18,1. FC Nürnberg,FCN,6,1,1,4,6:11,-5,4
