#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,6,3,1,28:10,18,21
2,Eintracht Frankfurt,SGE,9,4,4,1,16:13,3,16
3,1. FC Union Berlin,FCU,10,5,1,4,14:15,-1,16
4,Borussia Dortmund,BVB,10,5,0,5,14:17,-3,15
5,VfL Wolfsburg,WOB,10,4,2,4,15:12,3,14
6,Werder Bremen,SVW,9,4,2,3,14:21,-7,14
7,SC Freiburg,SCF,10,4,2,4,14:23,-9,14
8,RB Leipzig,RBL,10,3,4,3,17:17,0,13
9,1. FSV Mainz 05,M05,10,4,1,5,13:18,-5,13
10,FC Augsburg,FCA,9,3,1,5,15:18,-3,10
11,Bayer Leverkusen,B04,9,3,1,5,11:18,-7,10
12,1899 Hoffenheim,TSG,9,2,2,5,14:18,-4,8
13,1. FC Köln,KOE,10,1,5,4,11:21,-10,8
14,Bor. Mönchengladbach,BMG,9,1,4,4,12:16,-4,7
15,Hertha BSC,BSC,9,1,1,7,8:17,-9,4
16,VfB Stuttgart,VFB,9,0,4,5,10:21,-11,4
17,FC Schalke 04,S04,9,0,3,6,4:16,-12,3
18,VfL Bochum,BOC,10,1,0,9,7:29,-22,3
