#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,12,7,3,2,32:14,18,24
2,Borussia Dortmund,BVB,13,7,1,5,19:19,0,22
3,1. FC Union Berlin,FCU,13,6,2,5,17:20,-3,20
4,VfL Wolfsburg,WOB,12,5,3,4,17:12,5,18
5,SC Freiburg,SCF,12,5,3,4,16:23,-7,18
6,Eintracht Frankfurt,SGE,12,4,5,3,19:20,-1,17
7,Bayer Leverkusen,B04,12,5,2,5,18:22,-4,17
8,1. FSV Mainz 05,M05,12,5,2,5,17:21,-4,17
9,RB Leipzig,RBL,12,4,4,4,21:19,2,16
10,Werder Bremen,SVW,11,4,2,5,15:25,-10,14
11,FC Augsburg,FCA,12,3,1,8,19:28,-9,10
12,1. FC Köln,KOE,12,1,6,5,11:24,-13,9
13,1899 Hoffenheim,TSG,12,2,2,8,15:22,-7,8
14,FC Schalke 04,S04,11,1,4,6,6:16,-10,7
15,Bor. Mönchengladbach,BMG,12,1,4,7,13:27,-14,7
16,VfL Bochum,BOC,13,2,0,11,9:35,-26,6
17,VfB Stuttgart,VFB,12,0,5,7,13:26,-13,5
18,Hertha BSC,BSC,11,1,1,9,10:25,-15,4
