#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayer Leverkusen,B04,6,4,2,0,11:4,7,14
2,Bayern München,FCB,5,4,0,1,13:9,4,12
3,VfB Stuttgart,VFB,5,3,2,0,12:6,6,11
4,Borussia Dortmund,BVB,5,3,1,1,9:5,4,10
5,1. FC Union Berlin,FCU,5,2,2,1,8:7,1,8
6,Hertha BSC,BSC,5,2,1,2,11:7,4,7
7,VfL Wolfsburg,WOB,5,1,4,0,7:5,2,7
8,Bor. Mönchengladbach,BMG,5,2,1,2,11:12,-1,7
9,RB Leipzig,RBL,5,1,3,1,7:6,1,6
10,Werder Bremen,SVW,5,1,3,1,9:9,0,6
11,Eintracht Frankfurt,SGE,5,1,3,1,9:12,-3,6
12,1. FC Köln,KOE,4,1,2,1,4:4,0,5
13,1899 Hoffenheim,TSG,5,1,2,2,7:8,-1,5
14,FC Augsburg,FCA,5,1,2,2,6:8,-2,5
15,SC Freiburg,SCF,5,1,2,2,5:11,-6,5
16,1. FSV Mainz 05,M05,5,1,0,4,6:13,-7,3
17,Arminia Bielefeld,DSC,5,0,1,4,3:11,-8,1
18,FC Schalke 04,S04,5,0,1,4,3:21,-18,1
