#{"t_start": 1706727432.6936316, "env_id": "CurvyRaceEnv-v0"}
r,l,t
18.935983,100,45.349468
-2.280534,100,45.573159
20.218667,100,45.795851
7.513704,100,46.029553
9.205863,100,46.244737
71.873659,100,46.462925
-11.198908,100,46.683114
3.303483,100,46.909808
55.538678,100,47.127995
-4.605656,100,47.359194
95.475305,100,47.578382
7.627775,100,47.79557
13.04522,100,48.011755
-4.527559,100,48.211926
29.681203,100,48.399589
12.404403,100,48.640795
64.450988,100,48.842468
5.944863,100,49.046644
-19.718558,100,49.253322
-43.16988,100,49.457497
-2.582498,100,49.662173
6.322008,100,49.865848
8.490093,100,50.067021
-5.86578,100,50.266192
36.914339,100,50.460859
6.289867,100,50.689556
-1.087417,100,50.896734
5.216586,100,51.098907
30.218745,100,51.305084
15.863605,100,51.50826
24.30429,100,51.712935
22.617093,100,51.918112
-40.417861,100,52.150811
-22.380008,100,52.355987
-50.778972,100,52.552156
31.691502,100,52.748324
-38.755794,100,52.961509
-25.300607,100,53.165684
13.113809,100,53.383871
-10.299436,100,53.584044
-14.822187,100,53.795725
28.099316,100,54.004404
-3.632862,100,54.208081
-9.513866,100,54.410753
-20.011041,100,54.610426
19.353529,100,54.833616
3.808075,100,55.042296
18.99162,100,55.240467
26.479393,100,55.439138
-12.956436,100,55.666333
6.837446,100,55.870007
-58.246084,100,56.076684
21.276982,100,56.284864
-23.918735,100,56.486537
-65.553594,100,56.6767
-71.820219,100,56.876873
12.635879,100,57.087054
2.156553,100,57.290229
-19.252842,100,57.496406
12.938692,100,57.71109
-14.575078,100,57.917268
-13.508631,100,58.114936
-64.58271,100,58.319613
3.641216,100,58.505772
3.714109,100,58.703943
-82.346944,100,58.925633
-8.732066,100,59.129809
4.732655,100,59.328979
18.417025,100,59.531653
-49.809574,100,59.730324
9.104444,100,59.917986
-48.799648,100,60.122161
-17.058067,100,60.321332
-44.982456,100,60.521003
-12.516817,100,60.707664
-1.82805,100,60.908836
58.231964,100,61.094998
16.087673,100,61.29617
14.604885,100,61.496341
18.07084,100,61.703519
-8.567796,100,61.912199
-13.726701,100,62.113372
-35.446904,100,62.329057
-104.838759,100,62.56526
-84.795932,100,62.76143
-89.383132,100,62.954595
-117.800343,100,63.164274
-94.166182,100,63.373955
-107.326275,100,63.579631
-60.007065,100,63.784307
-69.600159,100,63.993988
-76.773794,100,64.21818
-100.511018,100,64.434366
-122.807639,100,64.653554
-73.093774,100,64.865237
-112.662685,100,65.07742
-52.533425,100,65.280093
-67.163956,100,65.48677
-117.509602,100,65.706961
-83.091394,100,65.958676
34.786639,100,66.167856
26.620034,100,66.381539
-26.660983,100,66.58071
18.04524,100,66.786387
-59.806731,100,67.005075
4.3002,100,67.215756
-20.824231,100,67.431942
-29.830708,100,67.641122
-48.659505,100,67.840292
-5.884788,100,68.042967
-9.114197,100,68.241137
-20.410103,100,68.433303
29.555705,100,68.64048
-39.991945,100,68.845657
-53.958644,100,69.040824
-48.463558,100,69.238996
-32.223538,100,69.46619
12.545085,100,69.662358
9.68423,100,69.867535
40.27792,100,70.066205
20.246571,100,70.265376
31.512745,100,70.470553
45.059688,100,70.679734
38.244553,100,70.880405
51.562925,100,71.082578
31.829677,100,71.28275
-24.05687,100,71.487927
15.301347,100,71.680592
15.784105,100,71.884768
50.111496,100,72.082438
35.473961,100,72.274102
-23.277457,100,72.470772
33.330609,100,72.66694
10.068753,100,72.890633
-2.530679,100,73.093807
20.746025,100,73.272961
10.12558,100,73.466627
9.57145,100,73.663296
41.573409,100,73.850457
-3.841186,100,74.046126
15.345658,100,74.229282
24.62054,100,74.415442
-16.094229,100,74.5986
-12.131634,100,74.786762
14.246184,100,74.97042
-7.599728,100,75.155579
-11.931486,100,75.328227
29.451674,100,75.50638
23.51547,100,75.684033
-7.40453,100,75.852177
38.207636,100,76.063358
26.012081,100,76.267534
37.671185,100,76.462702
7.237893,100,76.656369
39.970933,100,76.840526
14.113512,100,77.041198
54.278334,100,77.231862
156.776913,100,77.431034
11.189177,100,77.631206
2.378743,100,77.808858
45.617092,100,78.001524
