#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,VfL Bochum,BOC,3,3,0,0,12:3,9,9
2,FC Hansa Rostock,ROS,3,3,0,0,8:0,8,9
3,Bayern München,FCB,3,2,1,0,9:2,7,7
4,FC Schalke 04,S04,3,2,1,0,4:1,3,7
5,TSV 1860 München,M60,3,2,0,1,6:3,3,6
6,Arminia Bielefeld,DSC,3,2,0,1,6:6,0,6
7,Borussia Dortmund,BVB,3,1,2,0,6:4,2,5
8,Bor. Mönchengladbach,BMG,3,1,1,1,3:1,2,4
9,Hertha BSC,BSC,3,0,3,0,3:3,0,3
10,VfL Wolfsburg,WOB,3,1,0,2,1:2,-1,3
11,1. FC Nürnberg,FCN,3,1,0,2,4:6,-2,3
12,Hamburger SV,HSV,3,1,0,2,3:6,-3,3
13,Werder Bremen,SVW,3,1,0,2,2:7,-5,3
14,Bayer Leverkusen,B04,3,0,2,1,4:6,-2,2
15,VfB Stuttgart,VFB,3,0,2,1,3:5,-2,2
16,1. FC Kaiserslautern,FCK,3,0,1,2,2:7,-5,1
17,Energie Cottbus,FCE,3,0,1,2,1:10,-9,1
18,Hannover 96,H96,3,0,0,3,3:8,-5,0
