#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,32,22,5,5,66:29,37,71
2,FC Schalke 04,S04,32,19,3,10,52:42,10,60
3,VfB Stuttgart,VFB,32,17,7,8,53:35,18,58
4,Hertha BSC,BSC,32,15,11,6,59:31,28,56
5,Werder Bremen,SVW,32,16,5,11,62:35,27,53
6,Bayer Leverkusen,B04,32,15,8,9,58:41,17,53
7,Hamburger SV,HSV,32,16,3,13,54:47,7,51
8,Borussia Dortmund,BVB,32,13,10,9,43:42,1,49
9,VfL Wolfsburg,WOB,32,14,2,16,45:48,-3,44
10,1. FC Kaiserslautern,FCK,32,12,6,14,40:47,-7,42
11,Hannover 96,H96,32,12,5,15,32:35,-3,41
12,Arminia Bielefeld,DSC,32,11,6,15,35:46,-11,39
13,1. FC Nürnberg,FCN,32,10,8,14,51:55,-4,38
14,1. FSV Mainz 05,M05,32,10,7,15,45:52,-7,37
15,Bor. Mönchengladbach,BMG,32,8,11,13,34:46,-12,35
16,VfL Bochum,BOC,32,7,8,17,44:68,-24,29
17,FC Hansa Rostock,ROS,32,7,8,17,29:62,-33,29
18,SC Freiburg,SCF,32,3,9,20,27:68,-41,18
