#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FC Kaiserslautern,FCK,1,1,0,0,4:0,4,3
2,Bayer Leverkusen,B04,1,1,0,0,3:0,3,3
3,Borussia Dortmund,BVB,1,1,0,0,2:0,2,3
4,FC St. Pauli,STP,1,0,1,0,1:1,0,1
5,1. FC Köln,KOE,1,0,1,0,0:0,0,1
5,Hertha BSC,BSC,1,0,1,0,0:0,0,1
7,Bor. Mönchengladbach,BMG,1,0,0,1,2:3,-1,0
7,Energie Cottbus,FCE,1,0,0,1,2:3,-1,0
9,VfL Wolfsburg,WOB,1,0,0,1,1:2,-1,0
10,Bayern München,FCB,1,0,0,1,0:1,-1,0
10,Hamburger SV,HSV,1,0,0,1,0:1,-1,0
12,FC Hansa Rostock,ROS,1,0,0,1,1:3,-2,0
13,1. FC Nürnberg,FCN,1,0,0,1,0:2,-2,0
13,SC Freiburg,SCF,1,0,0,1,0:2,-2,0
13,TSV 1860 München,M60,1,0,0,1,0:2,-2,0
13,VfB Stuttgart,VFB,1,0,0,1,0:2,-2,0
17,FC Schalke 04,S04,1,0,0,1,0:3,-3,0
17,Werder Bremen,SVW,1,0,0,1,0:3,-3,0
