#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,9,7,1,1,16:6,10,22
2,Borussia Dortmund,BVB,10,6,1,3,22:16,6,19
3,SV Darmstadt 98,D98,9,4,2,3,12:12,0,14
4,Bayer Leverkusen,B04,10,4,2,4,11:12,-1,14
5,Werder Bremen,SVW,10,4,2,4,15:17,-2,14
6,Hamburger SV,HSV,9,4,2,3,11:13,-2,14
7,Hertha BSC,BSC,9,4,1,4,12:11,1,13
8,FC Augsburg,FCA,9,3,3,3,12:13,-1,12
9,FC Ingolstadt 04,FCI,9,3,3,3,5:9,-4,12
10,1. FSV Mainz 05,M05,9,3,2,4,12:13,-1,11
11,1. FC Köln,KOE,8,3,2,3,11:15,-4,11
12,Bor. Mönchengladbach,BMG,8,3,1,4,16:18,-2,10
13,FC Schalke 04,S04,8,3,1,4,10:12,-2,10
14,Eintracht Frankfurt,SGE,9,2,2,5,9:14,-5,8
15,VfB Stuttgart,VFB,9,2,2,5,15:21,-6,8
16,Hannover 96,H96,9,2,2,5,8:15,-7,8
17,1899 Hoffenheim,TSG,9,1,3,5,8:13,-5,6
18,VfL Wolfsburg,WOB,9,1,3,5,6:16,-10,6
