#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,33,22,4,7,81:42,39,70
2,Bayern München,FCB,33,20,8,5,90:37,53,68
3,RB Leipzig,RBL,33,19,6,8,60:39,21,63
4,1. FC Union Berlin,FCU,33,17,8,8,50:38,12,59
5,SC Freiburg,SCF,33,17,8,8,50:42,8,59
6,Bayer Leverkusen,B04,33,14,8,11,57:46,11,50
7,VfL Wolfsburg,WOB,33,13,10,10,56:46,10,49
8,Eintracht Frankfurt,SGE,33,12,11,10,56:51,5,47
9,1. FSV Mainz 05,M05,33,12,9,12,52:53,-1,45
10,1. FC Köln,KOE,33,10,12,11,48:52,-4,42
11,Bor. Mönchengladbach,BMG,33,10,10,13,50:55,-5,40
12,Werder Bremen,SVW,33,10,6,17,51:63,-12,36
13,1899 Hoffenheim,TSG,33,10,5,18,47:56,-9,35
14,FC Augsburg,FCA,33,9,7,17,42:61,-19,34
15,VfB Stuttgart,VFB,33,7,11,15,44:56,-12,32
16,VfL Bochum,BOC,33,9,5,19,37:72,-35,32
17,FC Schalke 04,S04,33,7,10,16,33:67,-34,31
18,Hertha BSC,BSC,33,6,8,19,40:68,-28,26
