#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,15,13,2,0,47:19,28,41
2,Bayern München,FCB,14,10,3,1,40:12,28,33
3,RB Leipzig,RBL,15,9,5,1,32:8,24,32
4,Bor. Mönchengladbach,BMG,14,9,2,3,28:16,12,29
5,Eintracht Frankfurt,SGE,15,8,3,4,32:19,13,27
6,1899 Hoffenheim,TSG,15,7,5,3,27:15,12,26
7,Werder Bremen,SVW,15,7,5,3,31:23,8,26
8,1. FSV Mainz 05,M05,14,6,4,4,21:16,5,22
9,VfL Wolfsburg,WOB,14,6,4,4,25:21,4,22
10,Bayer Leverkusen,B04,14,7,1,6,23:23,0,22
11,SC Freiburg,SCF,14,5,6,3,26:21,5,21
12,Fortuna Düsseldorf,F95,15,7,0,8,21:26,-5,21
13,Hertha BSC,BSC,14,5,5,4,22:21,1,20
14,FC Augsburg,FCA,14,4,4,6,24:25,-1,16
15,VfB Stuttgart,VFB,15,4,4,7,18:27,-9,16
16,1. FC Nürnberg,FCN,15,3,6,6,15:17,-2,15
17,FC Schalke 04,S04,14,4,1,9,14:23,-9,13
18,Hannover 96,H96,15,3,1,11,11:26,-15,10
