#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,11,9,0,2,33:10,23,27
2,Borussia Dortmund,BVB,11,9,0,2,33:18,15,27
3,RB Leipzig,RBL,11,8,0,3,31:13,18,24
4,1. FSV Mainz 05,M05,11,7,3,1,21:5,16,24
5,1. FC Union Berlin,FCU,10,6,3,1,14:9,5,21
6,1. FC Köln,KOE,11,6,3,2,19:15,4,21
7,1899 Hoffenheim,TSG,10,6,2,2,23:12,11,20
8,SC Freiburg,SCF,10,5,3,2,17:11,6,18
9,VfL Bochum,BOC,10,5,3,2,13:8,5,18
10,Bayer Leverkusen,B04,10,5,2,3,26:17,9,17
11,FC Augsburg,FCA,10,4,3,3,15:16,-1,15
12,Hertha BSC,BSC,11,4,3,4,15:17,-2,15
13,Bor. Mönchengladbach,BMG,10,4,2,4,16:17,-1,14
14,VfL Wolfsburg,WOB,11,4,2,5,12:15,-3,14
15,Eintracht Frankfurt,SGE,10,3,4,3,14:13,1,13
16,VfB Stuttgart,VFB,11,3,2,6,18:23,-5,11
17,Arminia Bielefeld,DSC,11,1,7,3,11:16,-5,10
18,SpVgg Greuther Fürth,SGF,10,2,3,5,9:16,-7,9
