#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,3,3,0,0,9:3,6,9
2,1. FSV Mainz 05,M05,3,3,0,0,8:4,4,9
3,FC St. Pauli,STP,4,3,0,1,6:3,3,9
4,Bayer Leverkusen,B04,3,2,1,0,8:3,5,7
5,Eintracht Frankfurt,SGE,4,2,0,2,8:5,3,6
6,SC Freiburg,SCF,3,2,0,1,4:3,1,6
7,Hannover 96,H96,3,2,0,1,3:3,0,6
8,1899 Hoffenheim,TSG,4,1,2,1,6:7,-1,5
9,Hamburger SV,HSV,3,1,1,1,6:5,1,4
10,VfL Wolfsburg,WOB,4,1,1,2,5:6,-1,4
11,Bor. Mönchengladbach,BMG,3,1,1,1,8:12,-4,4
12,1. FC Nürnberg,FCN,4,0,3,1,2:4,-2,3
13,FC Schalke 04,S04,4,1,0,3,4:7,-3,3
14,Bayern München,FCB,3,1,0,2,2:5,-3,3
15,1. FC Kaiserslautern,FCK,4,1,0,3,5:10,-5,3
16,Werder Bremen,SVW,4,0,2,2,4:10,-6,2
17,1. FC Köln,KOE,4,0,1,3,4:9,-5,1
18,VfB Stuttgart,VFB,3,0,0,3,2:6,-4,0
