#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,8,8,0,0,21:5,16,24
2,Bayer Leverkusen,B04,8,6,2,0,19:9,10,20
3,1. FSV Mainz 05,M05,7,5,0,2,13:9,4,15
4,Eintracht Frankfurt,SGE,9,4,1,4,15:11,4,13
5,Hannover 96,H96,7,4,0,3,6:11,-5,12
6,1899 Hoffenheim,TSG,8,2,4,2,13:11,2,10
7,SC Freiburg,SCF,7,3,0,4,8:12,-4,9
8,FC St. Pauli,STP,8,3,0,5,6:14,-8,9
9,FC Schalke 04,S04,8,2,2,4,7:14,-7,8
10,Hamburger SV,HSV,8,2,1,5,11:14,-3,7
11,VfL Wolfsburg,WOB,9,1,4,4,9:13,-4,7
12,1. FC Nürnberg,FCN,9,1,4,4,8:16,-8,7
13,Bor. Mönchengladbach,BMG,8,2,1,5,15:25,-10,7
14,Bayern München,FCB,7,1,3,3,6:11,-5,6
15,1. FC Kaiserslautern,FCK,8,2,0,6,10:17,-7,6
16,Werder Bremen,SVW,9,1,3,5,8:23,-15,6
17,1. FC Köln,KOE,8,1,1,6,9:17,-8,4
18,VfB Stuttgart,VFB,8,0,2,6,10:19,-9,2
