#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,8,6,1,1,17:6,11,19
2,Bayern München,FCB,7,5,2,0,28:10,18,17
3,VfL Wolfsburg,WOB,7,5,2,0,12:6,6,17
4,1. FC Union Berlin,FCU,8,3,4,1,19:11,8,13
5,Bor. Mönchengladbach,BMG,8,3,4,1,13:9,4,13
6,SC Freiburg,SCF,8,3,3,2,18:12,6,12
7,Borussia Dortmund,BVB,7,4,0,3,16:10,6,12
8,Bayer Leverkusen,B04,7,3,3,1,14:9,5,12
9,Eintracht Frankfurt,SGE,7,2,5,0,11:9,2,11
10,Arminia Bielefeld,DSC,8,3,0,5,6:11,-5,9
11,Hertha BSC,BSC,7,2,2,3,10:12,-2,8
12,FC Augsburg,FCA,8,2,2,4,9:15,-6,8
13,1899 Hoffenheim,TSG,7,2,1,4,12:13,-1,7
14,FC Schalke 04,S04,8,1,2,5,7:13,-6,5
15,Werder Bremen,SVW,7,1,2,4,6:12,-6,5
16,VfB Stuttgart,VFB,7,0,4,3,9:13,-4,4
17,1. FSV Mainz 05,M05,8,0,2,6,6:15,-9,2
18,1. FC Köln,KOE,8,0,2,6,8:18,-10,2
