#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,3,3,0,0,17:3,14,9
2,Borussia Dortmund,BVB,3,3,0,0,10:0,10,9
3,RB Leipzig,RBL,3,3,0,0,9:2,7,9
4,FC Augsburg,FCA,3,2,0,1,5:3,2,6
5,Eintracht Frankfurt,SGE,3,1,2,0,4:3,1,5
6,Bor. Mönchengladbach,BMG,3,1,2,0,3:2,1,5
7,VfL Wolfsburg,WOB,3,1,2,0,2:1,1,5
8,1. FC Union Berlin,FCU,3,1,1,1,6:4,2,4
9,Bayer Leverkusen,B04,2,1,1,0,4:2,2,4
10,Werder Bremen,SVW,3,1,1,1,3:5,-2,4
11,1899 Hoffenheim,TSG,3,1,0,2,5:5,0,3
12,Arminia Bielefeld,DSC,3,1,0,2,2:6,-4,3
13,VfB Stuttgart,VFB,3,0,2,1,4:5,-1,2
14,SC Freiburg,SCF,3,0,2,1,4:6,-2,2
15,FC Schalke 04,S04,3,0,2,1,3:5,-2,2
16,1. FC Köln,KOE,4,0,1,3,5:9,-4,1
17,Hertha BSC,BSC,3,0,1,2,2:6,-4,1
18,1. FSV Mainz 05,M05,3,0,0,3,3:8,-5,0
