#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,5,2,1,14:6,8,17
2,Hannover 96,H96,8,4,2,2,11:7,4,14
3,Bayer Leverkusen,B04,8,4,1,3,12:7,5,13
4,Hamburger SV,HSV,8,4,1,3,10:7,3,13
5,Karlsruher SC,KSC,8,4,1,3,7:10,-3,13
6,Werder Bremen,SVW,7,3,3,1,10:8,2,12
7,FC Schalke 04,S04,7,2,4,1,10:8,2,10
8,VfL Wolfsburg,WOB,7,2,2,3,14:15,-1,8
9,Borussia Dortmund,BVB,8,2,1,5,10:17,-7,7
10,Eintracht Frankfurt,SGE,8,0,6,2,9:14,-5,6
11,MSV Duisburg,MSV,7,2,0,5,7:12,-5,6
11,VfL Bochum,BOC,8,2,0,6,7:12,-5,6
13,VfB Stuttgart,VFB,7,2,0,5,9:15,-6,6
14,1. FC Nürnberg,FCN,8,1,2,5,8:16,-8,5
15,Arminia Bielefeld,DSC,7,1,1,5,4:22,-18,4
16,Hertha BSC,BSC,7,1,0,6,6:12,-6,3
17,FC Hansa Rostock,ROS,7,1,0,6,5:13,-8,3
18,Energie Cottbus,FCE,7,0,3,4,3:15,-12,3
