#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,8,7,1,0,23:8,15,22
2,TSV 1860 München,M60,8,6,1,1,18:8,10,19
3,Bayer Leverkusen,B04,8,4,3,1,16:11,5,15
4,Hamburger SV,HSV,8,4,3,1,13:9,4,15
5,Hertha BSC,BSC,8,4,1,3,13:11,2,13
6,SC Freiburg,SCF,8,3,4,1,11:9,2,13
7,1. FC Kaiserslautern,FCK,8,3,3,2,14:16,-2,12
8,Borussia Dortmund,BVB,8,3,2,3,11:9,2,11
9,VfB Stuttgart,VFB,8,3,2,3,10:8,2,11
10,VfL Bochum,BOC,8,3,1,4,9:9,0,10
11,1. FC Nürnberg,FCN,8,2,4,2,12:14,-2,10
12,MSV Duisburg,MSV,8,2,3,3,11:16,-5,9
13,FC Schalke 04,S04,8,2,2,4,6:12,-6,8
14,FC Hansa Rostock,ROS,8,2,1,5,10:18,-8,7
15,Eintracht Frankfurt,SGE,8,1,3,4,11:15,-4,6
16,VfL Wolfsburg,WOB,8,0,5,3,9:13,-4,5
17,Bor. Mönchengladbach,BMG,8,1,2,5,11:17,-6,5
18,Werder Bremen,SVW,8,1,1,6,11:16,-5,4
