#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,5,4,1,0,9:4,5,13
2,VfB Stuttgart,VFB,4,4,0,0,16:2,14,12
3,Bayer Leverkusen,B04,4,4,0,0,15:4,11,12
4,Bayern München,FCB,4,3,1,0,15:3,12,10
5,VfL Wolfsburg,WOB,4,3,0,1,7:3,4,9
6,SC Freiburg,SCF,4,3,0,1,7:5,2,9
7,RB Leipzig,RBL,4,2,2,0,10:3,7,8
8,Eintracht Frankfurt,SGE,4,2,2,0,4:1,3,8
9,Werder Bremen,SVW,4,2,0,2,8:8,0,6
10,1. FC Heidenheim 1846,HDH,4,2,0,2,9:10,-1,6
11,FC Augsburg,FCA,4,1,2,1,9:9,0,5
12,SV Darmstadt 98,D98,4,1,1,2,9:12,-3,4
13,1899 Hoffenheim,TSG,4,1,0,3,6:9,-3,3
14,1. FC Köln,KOE,4,1,0,3,5:8,-3,3
15,1. FC Union Berlin,FCU,4,1,0,3,4:9,-5,3
16,VfL Bochum,BOC,3,0,2,1,3:5,-2,2
17,Bor. Mönchengladbach,BMG,4,0,1,3,3:8,-5,1
18,1. FSV Mainz 05,M05,4,0,1,3,3:10,-7,1
