#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,10,7,2,1,24:7,17,23
2,Borussia Dortmund,BVB,10,6,2,2,27:11,16,20
3,RB Leipzig,RBL,10,6,1,3,16:12,4,19
4,Hannover 96,H96,10,5,3,2,14:9,5,18
5,FC Schalke 04,S04,10,5,2,3,13:10,3,17
6,Bor. Mönchengladbach,BMG,10,5,2,3,16:18,-2,17
7,1899 Hoffenheim,TSG,10,4,4,2,17:14,3,16
8,Bayer Leverkusen,B04,10,4,3,3,22:15,7,15
9,FC Augsburg,FCA,10,4,3,3,15:10,5,15
10,Eintracht Frankfurt,SGE,10,4,3,3,11:10,1,15
11,Hertha BSC,BSC,10,3,4,3,11:12,-1,13
12,VfB Stuttgart,VFB,10,4,1,5,9:11,-2,13
13,1. FSV Mainz 05,M05,10,3,2,5,11:16,-5,11
14,VfL Wolfsburg,WOB,10,1,7,2,10:13,-3,10
15,SC Freiburg,SCF,10,1,5,4,6:20,-14,8
16,Hamburger SV,HSV,10,2,1,7,7:17,-10,7
17,Werder Bremen,SVW,10,0,5,5,3:12,-9,5
18,1. FC Köln,KOE,10,0,2,8,4:19,-15,2
