#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,1. FSV Mainz 05,M05,3,1,2,0,7:5,2,5
2,1899 Hoffenheim,TSG,3,1,2,0,3:1,2,5
2,Bayern München,FCB,3,1,2,0,3:1,2,5
4,Eintracht Frankfurt,SGE,3,1,2,0,6:5,1,5
5,Bor. Mönchengladbach,BMG,3,1,2,0,2:1,1,5
6,1. FC Köln,KOE,3,1,1,1,2:1,1,4
7,Bayer Leverkusen,B04,3,1,1,1,3:4,-1,4
8,FC Schalke 04,S04,3,1,0,2,5:6,-1,3
9,SC Paderborn 07,SCP,2,1,0,1,3:4,-1,3
10,Borussia Dortmund,BVB,3,1,0,2,4:6,-2,3
11,FC Augsburg,FCA,3,1,0,2,1:3,-2,3
12,VfB Stuttgart,VFB,3,0,2,1,3:5,-2,2
13,Werder Bremen,SVW,4,0,2,2,8:11,-3,2
14,VfL Wolfsburg,WOB,3,0,1,2,2:4,-2,1
15,Hertha BSC,BSC,3,0,1,2,4:7,-3,1
15,SC Freiburg,SCF,3,0,1,2,4:7,-3,1
17,Hamburger SV,HSV,3,0,1,2,0:3,-3,1
17,Hannover 96,H96,3,0,1,2,0:3,-3,1
