Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
379,Pascal Stenzel,GER,DF,Stuttgart,27-290,1996,11,10,758.0,8.4,0,3,3,0,0,0,1,0,0.2,0.2,2.0,22,27,63,31,0,36,36,0,36,2,24,26,2,26
380,Leonidas Stergiou,SUI,DF,Stuttgart,21-307,2002,5,0,43.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
381,Angelo Stiller,GER,MF,Hoffenheim,22-275,2001,1,1,84.0,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,2,7,3,0,0,0,0,0,9,3,12,9,12
382,Angelo Stiller,GER,MF,Stuttgart,22-275,2001,14,13,1.19,13.2,0,3,3,0,0,0,1,0,0.5,0.5,2.4,29,14,96,30,0,23,23,0,23,4,18,22,4,22
383,Kevin Stöger,AUT,MF,Bochum,30-130,1993,15,15,1.186,13.2,4,3,7,1,3,3,5,0,3.7,1.3,3.2,46,36,130,47,30,23,53,8,30,28,25,53,10,35
384,Filip Stojilković,SUI,"FW,MF",Darmstadt 98,24-000,2000,6,0,154.0,1.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,2,4,3,10,0,0,0,0,0,11,0,11,11,11
385,Niklas Süle,GER,DF,Dortmund,28-123,1995,11,4,617.0,6.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,4,12,43,6,15,0,15,15,15,4,2,6,4,6
386,Mattias Svanberg,SWE,MF,Wolfsburg,24-364,1999,15,15,1.203,13.4,1,3,4,1,0,0,4,0,2.1,2.1,1.4,34,19,62,35,7,22,30,7,30,15,10,26,15,26
387,Attila Szalai,HUN,DF,Hoffenheim,25-349,1998,4,4,288.0,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.5,5,2,13,3,0,0,0,0,0,0,16,16,0,16
388,Jonathan Tah,GER,DF,Leverkusen,27-327,1996,15,15,1.307,14.5,3,0,3,3,0,0,4,0,1.2,1.2,0.1,13,8,53,1,21,0,21,21,21,9,0,9,9,9
389,Edmond Tapsoba,BFA,DF,Leverkusen,24-336,1999,14,13,1.173,13.0,0,0,0,0,0,0,3,0,0.6,0.6,0.8,14,27,85,6,0,0,0,0,0,5,6,11,5,11
390,Mathys Tel,FRA,"FW,MF",Bayern Munich,18-252,2005,11,0,213.0,2.4,3,2,5,3,0,0,1,0,0.7,0.7,0.3,10,10,5,26,127,85,211,127,211,29,14,43,29,43
391,Nathan Tella,NGA,DF,Leverkusen,24-183,1999,8,0,79.0,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0.5,7,3,6,11,114,0,114,114,114,17,61,78,17,78
392,Norman Theuerkauf,GER,"MF,DF",Heidenheim,36-345,1987,12,9,727.0,8.1,0,1,1,0,0,0,2,0,0.1,0.1,0.3,5,2,24,13,0,12,12,0,12,2,4,6,2,6
393,Jan Thielmann,GER,"FW,MF",Köln,21-223,2002,7,5,437.0,4.9,0,0,0,0,0,0,1,0,0.6,0.6,0.2,8,16,20,20,0,0,0,0,0,12,4,17,12,17
394,Denis Thomalla,GER,"MF,FW",Heidenheim,31-141,1992,14,3,353.0,3.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,6,3,19,14,0,0,0,0,0,7,8,15,7,15
395,Phillip Tietz,GER,FW,Augsburg,26-179,1997,16,13,1.055,11.7,3,2,5,3,0,0,0,0,4.8,4.8,1.2,60,6,15,49,26,17,43,26,43,41,10,51,41,51
396,Steffen Tigges,GER,"FW,MF",Köln,25-157,1998,11,4,372.0,4.1,0,0,0,0,0,0,0,0,0.5,0.5,0.4,8,3,6,25,0,0,0,0,0,11,9,20,11,20
397,Umut Tohumcu,GER,MF,Hoffenheim,19-146,2004,4,3,203.0,2.3,0,1,1,0,0,0,2,0,0.1,0.1,0.4,5,3,8,7,0,44,44,0,44,5,18,23,5,23
398,Tiago Tomás,POR,"FW,MF",Wolfsburg,21-202,2002,14,6,583.0,6.5,1,0,1,1,0,0,2,0,1.9,1.9,0.3,23,15,12,70,15,0,15,15,15,29,5,35,29,35
399,Fabio Torsiello,ITA,"DF,FW",Darmstadt 98,18-336,2005,3,0,26.0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,1,1,3,0,0,0,0,0,30,0,30,30,30
400,Lucas Tousart,FRA,MF,Union Berlin,26-250,1997,6,3,305.0,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.4,5,2,8,11,0,0,0,0,0,4,12,16,4,16
401,Omar Traoré,GER,DF,Heidenheim,25-334,1998,15,13,1.136,12.6,0,1,1,0,0,0,2,0,0.1,0.1,0.7,7,29,36,40,0,8,8,0,8,1,5,6,1,6
402,Kevin Trapp,GER,TW,Eint Frankfurt,33-180,1990,15,15,1.35,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Christopher Trimmel,AUT,"DF,MF",Union Berlin,36-314,1987,11,8,750.0,8.3,0,1,1,0,0,0,0,0,0.4,0.4,0.8,12,8,39,38,0,12,12,0,12,5,10,15,5,14
404,Tuta,BRA,DF,Eint Frankfurt,24-184,1999,15,15,1.261,14.0,0,1,1,0,0,0,0,0,0.4,0.4,1.2,16,10,56,16,0,7,7,0,7,3,9,12,3,12
405,Lukas Ullrich,GER,DF,M'Gladbach,19-294,2004,2,0,21.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
406,Sven Ulreich,GER,TW,Bayern Munich,35-154,1988,8,8,720.0,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Deniz Undav,GER,FW,Stuttgart,27-169,1996,13,8,780.0,8.7,9,3,12,9,0,1,3,0,7.9,7.1,2.5,96,19,35,64,104,35,138,104,138,91,28,119,82,110
408,Dayot Upamecano,FRA,DF,Bayern Munich,25-069,1998,13,12,1.05,11.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,13,12,69,1,9,0,9,9,9,7,3,11,7,11
409,Mark Uth,GER,"MF,FW",Köln,32-133,1991,7,3,258.0,2.9,0,0,0,0,0,0,1,0,1.2,1.2,0.7,18,6,9,20,0,0,0,0,0,41,23,64,41,64
410,Josha Vagnoman,GER,"DF,MF",Stuttgart,23-024,2000,6,2,260.0,2.9,0,1,1,0,0,0,0,0,0.5,0.5,0.8,13,6,7,17,0,35,35,0,35,18,27,45,18,45
411,Ruben Vargas,SUI,"MF,FW",Augsburg,25-152,1998,14,8,733.0,8.1,1,1,2,1,0,0,0,0,1.1,1.1,1.0,21,15,23,44,12,12,25,12,25,13,13,26,13,26
