Rg,Spieler,Land,Pos,Verein,Alt,Geboren,GS,Startelf,Min.,90,Tor,Vor,T+V,T-Elf,Elf,VeElf,Gelb,Rot,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Tor,Vor,T+V,T-Elf,T+V-Elf,xG,xAG,xG+xAG,npxG,npxG+xAG
44,Janis Blaswich,GER,TW,RB Leipzig,32-247,1991,16,16,1.44,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
45,Victor Boniface,NGA,FW,Leverkusen,23-012,2000,16,15,1.276,14.2,10,7,17,9,1,1,2,0,12.1,11.3,3.6,149,43,29,131,71,49,120,63,113,85,25,110,79,105
46,Leonardo Bonucci,ITA,DF,Union Berlin,36-248,1987,7,6,460.0,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,3,0,21,1,20,0,20,0,0,15,6,22,0,6
47,Yvandro Borges Sanches,LUX,"MF,FW",M'Gladbach,19-225,2004,3,0,18.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Sebastiaan Bornauw,BEL,DF,Wolfsburg,24-288,1999,9,6,487.0,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,2,1,14,1,0,0,0,0,0,4,0,4,4,4
49,Rafael Borré,COL,FW,Werder Bremen,28-111,1995,13,10,832.0,9.2,4,0,4,4,0,0,0,0,2.1,2.1,1.7,38,15,23,64,43,0,43,43,43,23,18,42,23,42
50,Julian Brandt,GER,"MF,FW",Dortmund,27-247,1996,16,14,1.213,13.5,5,7,12,5,0,0,1,0,3.0,3.0,6.5,95,38,54,94,37,52,89,37,89,22,49,70,22,70
51,Tim Breithaupt,GER,MF,Augsburg,21-331,2002,10,2,259.0,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,1,0,3,1,0,0,0,0,0,2,1,3,2,3
52,Maximilian Breunig,GER,FW,Freiburg,23-143,2000,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,John Brooks,USA,DF,Hoffenheim,30-341,1993,13,13,1.08,12.0,1,0,1,1,0,0,3,0,2.0,2.0,0.1,21,2,39,1,8,0,8,8,8,17,0,17,17,17
54,Moritz Broschinski,GER,"FW,MF",Bochum,23-103,2000,10,2,306.0,3.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,8,4,4,16,0,0,0,0,0,19,4,22,19,22
55,Alexander Brunst,GER,TW,Darmstadt 98,28-181,1995,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Marius Bülter,GER,"DF,FW",Hoffenheim,30-281,1993,16,9,783.0,8.7,1,3,4,1,0,0,1,0,1.0,1.0,2.2,32,24,29,73,11,34,46,11,46,11,26,37,11,37
57,Jonathan Burkardt,GER,"MF,FW",Mainz 05,23-177,2000,5,2,187.0,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0.0,6,5,6,15,0,0,0,0,0,27,0,27,27,27
58,Oliver Burke,SCO,FW,Werder Bremen,26-272,1997,1,0,32.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
59,Marnon Busch,GER,DF,Heidenheim,29-027,1994,6,3,284.0,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,3,8,18,16,0,0,0,0,0,4,6,10,4,10
60,Aurélio Buta,POR,"DF,MF",Eint Frankfurt,26-328,1997,16,12,941.0,10.5,1,1,2,1,0,0,3,0,0.3,0.3,0.7,10,34,48,71,10,10,19,10,19,3,7,9,3,9
61,Jamie Bynoe-Gittens,ENG,"FW,DF",Dortmund,19-149,2004,8,7,397.0,4.4,1,1,2,1,0,0,0,0,1.1,1.1,0.6,18,22,11,38,23,23,45,23,45,26,14,40,26,40
62,Anthony Caci,FRA,DF,Mainz 05,26-187,1997,14,13,1.149,12.8,2,0,2,2,0,0,3,0,0.5,0.5,0.5,10,11,58,27,16,0,16,16,16,4,4,8,4,8
63,Emre Can,GER,MF,Dortmund,29-357,1994,13,11,955.0,10.6,1,2,3,0,1,1,3,0,0.9,0.1,1.3,14,15,61,9,9,19,28,0,19,8,12,21,1,13
64,Irvin Cardona,FRA,"MF,DF",Augsburg,26-149,1997,3,0,54.0,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,2,3,2,6,0,0,0,0,0,33,0,33,33,33
65,Rasmus Carstensen,DEN,"DF,FW",Köln,23-085,2000,14,12,1.057,11.7,0,0,0,0,0,0,2,1,0.3,0.3,1.1,14,28,37,62,0,0,0,0,0,3,9,12,3,12
66,Fabio Carvalho,POR,MF,RB Leipzig,21-127,2002,9,1,165.0,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,5,8,9,13,0,0,0,0,0,12,13,25,12,25
67,Koen Casteels,BEL,TW,Wolfsburg,31-193,1992,13,13,1.17,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,2,0,1,0,0,0,0,0,0,0,2,2,0,2
68,Václav Černý,CZE,"FW,MF",Wolfsburg,26-079,1997,12,7,545.0,6.1,1,1,2,1,0,0,2,0,1.1,1.1,0.5,16,12,21,47,17,17,33,17,33,18,8,26,18,26
69,Julian Chabot,GER,DF,Köln,25-326,1998,15,15,1.207,13.4,0,0,0,0,0,0,4,1,0.8,0.8,0.1,9,9,32,1,0,0,0,0,0,6,1,7,6,7
70,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,21-037,2002,13,11,938.0,10.4,1,2,3,1,0,0,1,0,1.2,1.2,2.8,39,29,41,73,10,19,29,10,29,11,26,38,11,38
71,Fabio Chiarodia,ITA,"DF,MF",M'Gladbach,18-213,2005,5,0,62.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72,Kingsley Coman,FRA,FW,Bayern Munich,27-205,1996,11,11,835.0,9.3,3,3,6,3,0,0,1,0,2.4,2.4,3.6,61,58,43,135,32,32,65,32,65,26,39,65,26,65
73,Bambasé Conté,GER,"FW,MF",Hoffenheim,20-181,2003,2,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,1,4,0,0,0,0,0,0,0,0,0,0
74,Danny da Costa,GER,DF,Mainz 05,30-175,1993,13,8,730.0,8.1,0,1,1,0,0,0,1,0,0.3,0.3,0.7,10,19,38,49,0,12,12,0,12,4,9,13,4,13
75,Nicolas Cozza,FRA,DF,Wolfsburg,24-361,1999,5,2,213.0,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,1,5,14,7,0,0,0,0,0,1,4,4,1,4
76,Tomáš Čvančara,CZE,FW,M'Gladbach,23-144,2000,13,6,641.0,7.1,4,1,5,3,1,2,3,0,4.6,3.0,0.7,37,8,10,28,56,14,70,42,56,64,9,74,42,51
77,Finn Dahmen,GER,TW,Augsburg,25-283,1998,16,16,1.44,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
78,Lukas Daschner,GER,"MF,FW",Bochum,25-095,1998,10,2,302.0,3.4,1,1,2,1,0,0,2,0,2.2,2.2,0.8,30,4,10,19,30,30,60,30,60,64,24,88,64,88
79,David Datro Fofana,CIV,"FW,MF",Union Berlin,21-013,2002,12,8,682.0,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,31,20,14,66,13,0,13,13,13,37,5,41,37,41
80,Alphonso Davies,CAN,DF,Bayern Munich,23-063,2000,14,13,1.088,12.1,0,3,3,0,0,0,0,0,0.3,0.3,1.5,18,65,62,73,0,25,25,0,25,2,12,15,2,15
81,Olivier Deman,BEL,DF,Werder Bremen,23-273,2000,12,9,828.0,9.2,1,1,2,1,0,0,3,0,0.6,0.6,0.5,11,11,27,34,11,11,22,11,22,6,6,12,6,12
82,Ermedin Demirović,BIH,"MF,FW",Augsburg,25-285,1998,16,16,1.383,15.4,8,5,13,7,1,2,4,0,7.3,5.7,2.0,77,14,26,61,52,33,85,46,78,48,13,60,37,50
83,Sepp van den Berg,NED,DF,Mainz 05,22-015,2001,15,13,1.219,13.5,1,0,1,1,0,0,5,0,0.7,0.7,0.0,7,5,57,5,7,0,7,7,7,5,0,5,5,5
84,Florian Dietz,GER,FW,Köln,25-154,1998,2,0,44.0,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,1,0,0,6,0,0,0,0,0,21,0,21,21,21
85,Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,23-044,2000,15,11,954.0,10.6,3,1,4,3,0,0,1,0,2.5,2.5,1.6,41,33,45,57,28,9,38,28,38,24,15,39,24,39
86,Eren Dinkçi,GER,"FW,MF",Heidenheim,22-022,2001,15,15,1.202,13.4,6,0,6,6,0,0,6,0,1.7,1.7,1.3,30,41,45,60,45,0,45,45,45,13,10,23,13,23
87,Ritsu Doan,JPN,"MF,FW",Freiburg,25-202,1998,16,13,1.06,11.8,1,0,1,1,0,0,0,0,1.7,1.7,0.9,26,25,29,72,8,0,8,8,8,14,8,22,14,22
88,Danilho Doekhi,NED,DF,Union Berlin,25-188,1998,8,8,720.0,8.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,3,1,31,5,12,0,12,12,12,3,1,4,3,4
89,Niklas Dorsch,GER,MF,Augsburg,25-354,1998,14,13,1.051,11.7,0,0,0,0,0,0,4,0,0.6,0.6,0.0,6,7,36,7,0,0,0,0,0,5,0,5,5,5
90,Nikola Dovedan,AUT,"MF,FW",Heidenheim,29-182,1994,9,1,239.0,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,3,6,10,10,0,0,0,0,0,6,5,11,6,11
91,Damion Downs,GER,"FW,MF",Köln,19-182,2004,3,0,24.0,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,2,0,0,1,0,0,0,0,0,59,0,59,59,59
92,Dion Drena Beljo,CRO,"FW,MF",Augsburg,21-309,2002,13,3,391.0,4.3,2,0,2,2,0,0,2,0,1.3,1.3,0.3,15,13,10,21,46,0,46,46,46,29,6,35,29,35
93,Marvin Ducksch,GER,FW,Werder Bremen,29-303,1994,16,15,1.268,14.1,7,4,11,5,2,3,4,0,5.5,3.0,3.6,66,7,44,71,50,28,78,35,64,39,26,65,21,47
94,Maximilian Eggestein,GER,MF,Freiburg,27-027,1996,16,16,1.391,15.5,0,0,0,0,0,0,3,0,1.3,1.3,0.9,22,20,83,27,0,0,0,0,0,8,6,14,8,14
95,Lilian Egloff,GER,"MF,DF",Stuttgart,21-137,2002,5,1,106.0,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,2,2,2,2,0,0,0,0,0,15,0,15,15,15
96,Nico Elvedi,SUI,DF,M'Gladbach,27-096,1996,14,12,1.069,11.9,1,1,2,1,0,0,3,0,0.4,0.4,0.1,5,15,47,2,8,8,17,8,17,4,1,5,4,5
97,Arne Engels,BEL,"MF,DF",Augsburg,20-118,2003,14,7,686.0,7.6,1,0,1,1,0,0,0,1,1.0,1.0,0.7,18,12,17,25,13,0,13,13,13,14,10,23,14,23
98,Ohis Felix Uduokhai,GER,DF,Augsburg,26-117,1997,15,15,1.301,14.5,1,0,1,1,0,0,4,1,0.6,0.6,0.3,10,12,43,3,7,0,7,7,7,4,2,7,4,7
99,Edimilson Fernandes,SUI,DF,Mainz 05,27-264,1996,11,10,877.0,9.7,0,2,2,0,0,0,3,0,0.5,0.5,0.7,11,8,39,8,0,21,21,0,21,5,7,12,5,12
100,Nacho Ferri,ESP,"FW,MF",Eint Frankfurt,19-091,2004,4,0,53.0,0.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,7,0,2,5,170,0,170,170,170,121,0,121,121,121
101,Max Finkgräfe,GER,"DF,MF",Köln,19-283,2004,7,2,277.0,3.1,0,0,0,0,0,0,0,0,0.7,0.7,0.3,9,11,5,14,0,0,0,0,0,22,8,31,22,31
102,Jonas Föhrenbach,GER,DF,Heidenheim,27-343,1996,15,14,1.269,14.1,0,0,0,0,0,0,1,0,0.3,0.3,0.4,7,20,39,41,0,0,0,0,0,2,3,5,2,5
103,Emil Forsberg,SWE,"MF,FW",RB Leipzig,32-073,1991,14,5,464.0,5.2,2,1,3,2,0,1,0,0,1.4,0.6,0.9,15,8,22,38,39,19,58,39,58,27,17,44,11,28
104,Philipp Förster,GER,"MF,FW",Bochum,28-334,1995,7,1,212.0,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,4,4,14,11,0,0,0,0,0,6,11,17,6,17
105,Bartol Franjić,CRO,MF,Darmstadt 98,23-355,2000,10,5,537.0,6.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,2,7,23,6,0,17,17,0,17,0,4,4,0,4
106,Marco Friedl,AUT,DF,Werder Bremen,25-294,1998,12,12,1.027,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0,0,30,2,0,0,0,0,0,0,0,0,0,0
107,Marvin Friedrich,GER,DF,M'Gladbach,28-022,1995,10,5,490.0,5.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,3,1,13,2,0,0,0,0,0,5,1,6,5,6
108,Jeremie Frimpong,NED,DF,Leverkusen,23-025,2000,16,16,1.314,14.6,5,6,11,5,0,0,3,0,4.0,4.0,3.6,76,89,28,193,34,41,75,34,75,27,25,52,27,52
109,Chris Führich,GER,"FW,MF",Stuttgart,25-360,1998,16,16,1.25,13.9,5,5,10,5,0,1,1,0,4.8,3.9,4.9,88,77,56,114,36,36,72,36,72,34,35,69,28,63
110,Niclas Füllkrug,GER,FW,Werder Bremen,30-329,1993,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,7,2,9,12,0,0,0,0,0,23,13,36,23,36
111,Niclas Füllkrug,GER,FW,Dortmund,30-329,1993,14,12,1.01,11.2,5,5,10,5,0,0,0,0,5.0,5.0,2.3,73,5,19,64,45,45,89,45,89,44,21,65,44,65
112,Cristian Gamboa,CRC,DF,Bochum,34-072,1989,13,10,942.0,10.5,0,1,1,0,0,0,4,0,0.1,0.1,0.3,4,8,27,15,0,10,10,0,10,1,3,4,1,4
113,Yannick Gerhardt,GER,"MF,FW",Wolfsburg,29-297,1994,12,8,696.0,7.7,1,0,1,1,0,0,1,0,0.9,0.9,0.1,11,10,13,36,13,0,13,13,13,12,2,14,12,14
114,Anwar El Ghazi,NED,"MF,DF",Mainz 05,28-246,1995,3,0,54.0,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.2,4,2,4,5,0,167,167,0,167,22,39,61,22,61
115,Benedikt Gimber,GER,DF,Heidenheim,26-319,1997,7,7,605.0,6.7,1,1,2,1,0,0,3,0,0.5,0.5,0.3,8,1,6,2,15,15,30,15,30,7,5,12,7,12
116,Matthias Ginter,GER,DF,Freiburg,29-350,1994,15,15,1.283,14.3,0,2,2,0,0,0,2,0,0.9,0.9,1.1,20,16,100,16,0,14,14,0,14,7,8,14,7,14
117,Klaus Gjasula,ALB,"DF,MF",Darmstadt 98,34-021,1989,10,8,633.0,7.0,0,0,0,0,0,0,2,1,0.1,0.1,0.1,2,6,39,1,0,0,0,0,0,2,1,3,2,3
118,Serge Gnabry,GER,"FW,MF",Bayern Munich,28-174,1995,5,3,226.0,2.5,0,0,0,0,0,0,0,0,1.1,1.1,0.5,17,12,10,26,0,0,0,0,0,46,22,67,46,67
119,Leon Goretzka,GER,MF,Bayern Munich,28-332,1995,11,10,831.0,9.2,2,1,3,2,0,0,0,0,2.5,2.5,1.3,38,27,55,30,22,11,32,22,32,27,14,41,27,41
120,Robin Gosens,GER,"DF,MF",Union Berlin,29-183,1994,13,11,952.0,10.6,4,0,4,4,0,0,4,0,1.1,1.1,1.3,24,7,46,57,38,0,38,38,38,10,12,22,10,22
121,Mario Götze,GER,"MF,FW",Eint Frankfurt,31-215,1992,14,8,782.0,8.7,0,1,1,0,0,0,4,1,0.1,0.1,1.4,15,8,46,42,0,12,12,0,12,1,16,17,1,17
122,Jeffrey Gouweleeuw,NED,DF,Augsburg,32-178,1991,13,12,1.08,12.0,0,0,0,0,0,0,3,0,0.4,0.4,0.6,10,11,61,5,0,0,0,0,0,3,5,8,3,8
123,Jens Grahl,GER,TW,Eint Frankfurt,35-104,1988,1,1,90.0,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,2,0,0,0,0,100,100,0,100,0,24,24,0,24
124,Ryan Gravenberch,NED,FW,Bayern Munich,21-233,2002,1,0,10.0,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,2,0,1,3,0,0,0,0,0,0,192,192,0,192
125,Michael Gregoritsch,AUT,FW,Freiburg,29-261,1994,14,6,577.0,6.4,3,1,4,3,0,0,0,0,3.5,3.5,0.5,40,5,15,33,47,16,62,47,62,55,7,62,55,62
126,Vincenzo Grifo,ITA,"MF,FW",Freiburg,30-272,1993,14,13,1.095,12.2,3,5,8,0,3,3,1,0,3.8,1.4,3.7,51,19,44,68,25,41,66,0,41,31,30,61,11,41
127,Florian Grillitsch,AUT,MF,Hoffenheim,28-150,1995,13,8,770.0,8.6,1,1,2,1,0,0,4,0,0.8,0.8,0.5,13,14,54,10,12,12,23,12,23,9,6,15,9,15
128,Álex Grimaldo,ESP,DF,Leverkusen,28-106,1995,16,16,1.433,15.9,7,5,12,7,0,0,1,0,2.3,2.3,2.8,51,35,68,106,44,31,75,44,75,14,18,32,14,32
129,Christian Groß,GER,"MF,DF",Werder Bremen,34-330,1989,8,5,455.0,5.1,0,1,1,0,0,0,1,0,0.1,0.1,0.2,3,10,23,4,0,20,20,0,20,2,4,6,2,6
130,Brajan Gruda,GER,"MF,FW",Mainz 05,19-218,2004,14,9,801.0,8.9,1,1,2,1,0,0,3,0,1.1,1.1,1.6,27,47,36,85,11,11,22,11,22,12,18,30,12,30
131,Ilia Gruev,BUL,MF,Werder Bremen,23-243,2000,1,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Raphaël Guerreiro,POR,"MF,DF",Bayern Munich,30-013,1993,5,2,300.0,3.3,1,0,1,1,0,0,1,0,0.6,0.6,0.0,6,4,14,11,30,0,30,30,30,17,0,17,17,17
133,Josuha Guilavogui,FRA,DF,Mainz 05,33-107,1990,2,1,31.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
134,Serhou Guirassy,GUI,FW,Stuttgart,27-298,1996,14,12,1.055,11.7,17,1,18,14,3,3,0,0,11.6,9.2,3.5,127,16,22,82,145,9,154,119,128,99,30,129,79,109
135,Manuel Gulde,GER,DF,Freiburg,32-326,1991,11,7,718.0,8.0,1,0,1,1,0,0,2,0,0.7,0.7,0.0,7,2,22,1,13,0,13,13,13,9,0,9,9,9
136,Robert Gumny,POL,DF,Augsburg,25-214,1998,11,6,461.0,5.1,0,0,0,0,0,0,3,0,0.2,0.2,0.1,3,7,17,16,0,0,0,0,0,4,1,5,4,5
137,Christian Günter,GER,DF,Freiburg,30-310,1993,1,1,89.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,6,2,3,3,0,0,0,0,0,0,59,59,0,59
138,Janik Haberer,GER,MF,Union Berlin,29-277,1994,12,10,771.0,8.6,0,0,0,0,0,0,3,0,0.6,0.6,0.1,8,3,30,25,0,0,0,0,0,7,2,9,7,9
139,Robin Hack,GER,"MF,FW",M'Gladbach,25-130,1998,12,2,333.0,3.7,0,2,2,0,0,0,1,0,0.7,0.7,0.9,16,13,13,26,0,54,54,0,54,20,24,44,20,44
140,Amadou Haidara,MLI,MF,RB Leipzig,25-338,1998,10,8,639.0,7.1,0,0,0,0,0,0,3,0,0.7,0.7,0.8,15,2,56,6,0,0,0,0,0,9,12,21,9,21
141,Sébastien Haller,CIV,FW,Dortmund,29-196,1994,11,4,361.0,4.0,0,0,0,0,0,0,2,0,0.9,0.9,0.6,15,9,10,30,0,0,0,0,0,23,16,39,23,39
142,Andreas Hanche-Olsen,NOR,DF,Mainz 05,26-352,1997,2,1,66.0,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Genki Haraguchi,JPN,MF,Stuttgart,32-240,1991,1,0,21.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
144,Makoto Hasebe,JPN,"DF,MF",Eint Frankfurt,39-351,1984,3,0,37.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
145,Thorgan Hazard,BEL,DF,Dortmund,30-281,1993,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
146,Dominique Heintz,GER,DF,Köln,30-142,1993,6,5,410.0,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,3,6,17,13,0,0,0,0,0,0,7,7,0,7
147,Benjamin Henrichs,GER,DF,RB Leipzig,26-315,1997,15,14,1.252,13.9,1,3,4,1,0,0,1,0,1.4,1.4,3.0,44,27,64,79,7,22,29,7,29,10,22,31,10,31
148,Patrick Herrmann,GER,"DF,FW",M'Gladbach,32-326,1991,3,0,44.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,4,5,0,0,0,0,0,7,8,15,7,15
149,Piero Hincapié,ECU,DF,Leverkusen,21-360,2002,9,3,296.0,3.3,0,1,1,0,0,0,0,0,0.8,0.8,0.2,9,6,15,6,0,30,30,0,30,23,5,29,23,29
150,Adam Hložek,CZE,"FW,MF",Leverkusen,21-163,2002,13,0,94.0,1.0,1,0,1,1,0,0,0,0,1.4,1.4,0.1,15,8,5,10,96,0,96,96,96,131,10,141,131,141
151,Nicolas Höfler,GER,MF,Freiburg,33-301,1990,12,12,1.071,11.9,1,0,1,1,0,0,5,1,0.5,0.5,0.1,6,7,46,9,8,0,8,8,8,4,1,5,4,5
152,Jonas Hofmann,GER,MF,Leverkusen,31-174,1992,16,15,1.272,14.1,5,5,10,5,0,0,2,0,2.8,2.8,4.7,75,36,68,120,35,35,71,35,71,20,33,53,20,53
153,Philipp Hofmann,GER,FW,Bochum,30-280,1993,13,10,779.0,8.7,0,2,2,0,0,0,1,0,1.5,1.5,1.1,26,2,18,49,0,23,23,0,23,17,13,30,17,30
154,Lucas Höler,GER,"FW,MF",Freiburg,29-178,1994,16,13,1.171,13.0,5,1,6,4,1,1,2,0,5.2,4.4,1.6,60,14,24,74,38,8,46,31,38,40,12,53,34,46
155,Fabian Holland,GER,"MF,DF",Darmstadt 98,33-177,1990,12,12,992.0,11.0,0,2,2,0,0,0,3,1,0.1,0.1,1.0,12,7,56,18,0,18,18,0,18,1,9,11,1,11
156,Benedict Hollerbach,GER,"FW,MF",Union Berlin,22-232,2001,10,4,347.0,3.9,2,0,2,2,0,0,1,0,0.5,0.5,0.3,9,15,11,33,52,0,52,52,52,13,9,22,13,22
157,Franck Honorat,FRA,"DF,FW",M'Gladbach,27-146,1996,16,15,1.251,13.9,1,6,7,1,0,0,1,0,0.5,0.5,5.2,57,46,50,146,7,43,50,7,50,4,37,41,4,41
158,Mathias Honsak,AUT,"MF,FW",Darmstadt 98,27-015,1996,13,6,595.0,6.6,1,0,1,1,0,0,1,0,1.0,1.0,0.3,13,14,9,42,15,0,15,15,15,16,5,20,16,20
159,Fraser Hornby,SCO,"FW,MF",Darmstadt 98,24-113,1999,7,1,217.0,2.4,0,0,0,0,0,0,1,0,0.7,0.7,0.3,10,7,2,7,0,0,0,0,0,27,14,41,27,41
160,Lukáš Hrádecký,FIN,TW,Leverkusen,34-041,1989,16,16,1.44,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Timo Hübers,GER,DF,Köln,27-168,1996,16,16,1.428,15.9,0,0,0,0,0,0,2,0,1.3,1.3,0.2,15,9,56,1,0,0,0,0,0,8,1,9,8,9
162,Mats Hummels,GER,DF,Dortmund,35-019,1988,14,14,992.0,11.0,2,0,2,2,0,0,4,1,2.5,2.5,0.2,28,8,59,0,18,0,18,18,18,23,2,25,23,25
163,Denis Huseinbasic,GER,MF,Köln,22-185,2001,10,5,459.0,5.1,0,2,2,0,0,0,1,0,0.1,0.1,0.3,4,7,16,10,0,39,39,0,39,1,7,8,1,8
164,Iago,BRA,"DF,FW",Augsburg,26-287,1997,10,5,514.0,5.7,1,1,2,1,0,0,0,0,0.2,0.2,0.8,10,10,19,16,18,18,35,18,35,3,14,17,3,17
165,Thomas Isherwood,SWE,DF,Darmstadt 98,25-341,1998,7,4,326.0,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,5,10,1,0,0,0,0,0,0,1,1,0,1
166,Ko Itakura,JPN,DF,M'Gladbach,26-342,1997,7,7,611.0,6.8,2,0,2,2,0,0,4,0,0.7,0.7,0.0,7,3,11,0,29,0,29,29,29,10,0,10,10,10
167,Hiroki Ito,JPN,DF,Stuttgart,24-237,1999,12,11,982.0,10.9,0,2,2,0,0,0,1,0,0.6,0.6,1.4,20,18,58,22,0,18,18,0,18,5,13,18,5,18
168,Lee Jae-sung,KOR,MF,Mainz 05,31-147,1992,16,13,1.12,12.4,2,0,2,2,0,0,3,0,1.2,1.2,0.7,19,11,52,55,16,0,16,16,16,9,6,15,9,15
169,Paul Jaeckel,GER,DF,Union Berlin,25-166,1998,4,2,217.0,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,1,1,14,1,0,0,0,0,0,0,3,3,0,3
170,Kristijan Jakić,CRO,MF,Eint Frankfurt,26-235,1997,3,1,181.0,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,2,3,11,9,0,0,0,0,0,2,9,11,2,11
171,Tony Jantschke,GER,"DF,MF",M'Gladbach,33-272,1990,2,0,19.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
172,Fredrik Jensen,FIN,"FW,MF",Augsburg,26-117,1997,12,8,675.0,7.5,1,3,4,1,0,0,0,0,0.5,0.5,2.1,25,13,21,41,13,40,53,13,53,6,28,34,6,34
173,Moritz Jenz,GER,DF,Wolfsburg,24-249,1999,9,8,761.0,8.5,0,1,1,0,0,0,1,0,0.0,0.0,0.3,3,0,21,1,0,12,12,0,12,0,3,4,0,4
174,Anthony Jung,GER,"DF,FW",Werder Bremen,32-062,1991,15,14,1.202,13.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,1,8,49,14,0,0,0,0,0,0,1,1,0,1
175,Josip Juranović,CRO,DF,Union Berlin,28-141,1995,9,7,598.0,6.6,0,2,2,0,0,0,1,0,0.3,0.3,1.3,16,15,34,22,0,30,30,0,30,4,20,24,4,24
176,Julian Justvan,GER,"FW,MF",Hoffenheim,25-277,1998,4,0,49.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,8,5,12,0,0,0,0,0,7,0,7,7,7
177,Ozan Kabak,TUR,DF,Hoffenheim,23-285,2000,12,12,959.0,10.7,2,0,2,2,0,0,4,0,1.1,1.1,0.1,12,8,51,2,19,0,19,19,19,10,1,12,10,12
178,Pavel Kadeřábek,CZE,"DF,FW",Hoffenheim,31-254,1992,12,11,987.0,11.0,1,1,2,1,0,0,2,0,1.6,1.6,1.6,32,17,21,77,9,9,18,9,18,14,15,29,14,29
179,Florian Kainz,AUT,"MF,FW",Köln,31-072,1992,16,14,1.109,12.3,3,0,3,0,3,3,2,0,2.8,0.5,1.4,18,28,70,35,24,0,24,0,0,23,11,34,4,15
