#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,16,13,3,0,44:13,31,42
2,Borussia Dortmund,BVB,16,13,2,1,32:9,23,41
3,Hertha BSC,BSC,15,12,1,2,30:9,21,37
4,Bayer Leverkusen,B04,16,9,6,1,32:13,19,33
5,1. FC Kaiserslautern,FCK,16,10,3,3,30:18,12,33
6,VfL Wolfsburg,WOB,16,9,5,2,34:17,17,32
7,Hamburger SV,HSV,16,8,5,3,22:13,9,29
8,MSV Duisburg,MSV,15,8,4,3,26:17,9,28
9,FC Hansa Rostock,ROS,16,7,5,4,29:21,8,26
10,TSV 1860 München,M60,15,7,4,4,23:15,8,25
11,VfB Stuttgart,VFB,15,6,5,4,21:14,7,23
12,SC Freiburg,SCF,16,5,6,5,17:16,1,21
13,FC Schalke 04,S04,15,5,6,4,18:18,0,21
14,Eintracht Frankfurt,SGE,15,4,6,5,19:20,-1,18
15,VfL Bochum,BOC,15,5,3,7,19:23,-4,18
16,1. FC Nürnberg,FCN,15,2,11,2,20:21,-1,17
17,Werder Bremen,SVW,16,3,6,7,19:23,-4,15
18,Bor. Mönchengladbach,BMG,15,4,3,8,23:31,-8,15
