#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,23,17,5,1,57:13,44,56
2,RB Leipzig,RBL,23,15,4,4,43:24,19,49
3,Borussia Dortmund,BVB,23,12,7,4,52:25,27,43
4,1899 Hoffenheim,TSG,23,10,11,2,44:24,20,41
5,Hertha BSC,BSC,23,11,4,8,30:25,5,37
6,Eintracht Frankfurt,SGE,23,10,5,8,26:24,2,35
7,1. FC Köln,KOE,23,8,9,6,31:25,6,33
8,SC Freiburg,SCF,23,10,3,10,30:40,-10,33
9,Bor. Mönchengladbach,BMG,23,9,5,9,29:31,-2,32
10,Bayer Leverkusen,B04,23,9,3,11,36:38,-2,30
11,1. FSV Mainz 05,M05,23,8,5,10,32:38,-6,29
12,FC Augsburg,FCA,23,7,7,9,23:30,-7,28
13,FC Schalke 04,S04,23,7,6,10,28:27,1,27
14,Werder Bremen,SVW,23,7,4,12,30:43,-13,25
15,VfL Wolfsburg,WOB,23,6,5,12,21:34,-13,23
16,Hamburger SV,HSV,23,6,5,12,22:45,-23,23
17,FC Ingolstadt 04,FCI,23,5,3,15,21:39,-18,18
18,SV Darmstadt 98,D98,23,3,3,17,15:45,-30,12
