#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,3,3,0,0,6:0,6,9
2,1899 Hoffenheim,TSG,4,2,0,2,7:4,3,6
3,Bor. Mönchengladbach,BMG,3,2,0,1,2:1,1,6
4,1. FC Köln,KOE,3,2,0,1,9:9,0,6
5,Bayer Leverkusen,B04,4,2,0,2,5:6,-1,6
6,1. FC Nürnberg,FCN,4,2,0,2,3:4,-1,6
7,Hertha BSC,BSC,4,1,2,1,6:6,0,5
8,VfB Stuttgart,VFB,3,1,1,1,3:3,0,4
8,Werder Bremen,SVW,3,1,1,1,3:3,0,4
10,1. FSV Mainz 05,M05,3,1,1,1,4:5,-1,4
11,Borussia Dortmund,BVB,4,1,1,2,3:4,-1,4
12,Hannover 96,H96,3,1,1,1,2:4,-2,4
13,FC Schalke 04,S04,3,1,0,2,5:7,-2,3
14,VfL Wolfsburg,WOB,4,1,0,3,5:10,-5,3
15,Hamburger SV,HSV,4,1,0,3,3:11,-8,3
16,FC Augsburg,FCA,3,0,2,1,3:4,-1,2
17,1. FC Kaiserslautern,FCK,4,0,1,3,1:5,-4,1
18,SC Freiburg,SCF,4,0,1,3,7:18,-11,1
