#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,4,3,1,0,6:0,6,10
2,VfB Stuttgart,VFB,4,2,1,1,5:3,2,7
3,Borussia Dortmund,BVB,5,2,1,2,5:4,1,7
4,Bayer Leverkusen,B04,5,2,1,2,7:8,-1,7
5,1899 Hoffenheim,TSG,5,2,0,3,7:6,1,6
6,Bor. Mönchengladbach,BMG,4,2,0,2,2:2,0,6
7,FC Schalke 04,S04,4,2,0,2,7:8,-1,6
8,1. FC Nürnberg,FCN,5,2,0,3,4:6,-2,6
9,1. FC Köln,KOE,4,2,0,2,9:12,-3,6
10,Hamburger SV,HSV,5,2,0,3,5:12,-7,6
11,1. FSV Mainz 05,M05,4,1,2,1,7:8,-1,5
12,Hertha BSC,BSC,5,1,2,2,6:10,-4,5
13,FC Augsburg,FCA,5,1,2,2,4:8,-4,5
14,Werder Bremen,SVW,4,1,1,2,5:6,-1,4
15,1. FC Kaiserslautern,FCK,5,1,1,3,3:6,-3,4
16,Hannover 96,H96,4,1,1,2,2:6,-4,4
17,VfL Wolfsburg,WOB,5,1,0,4,6:13,-7,3
18,SC Freiburg,SCF,4,0,1,3,7:18,-11,1
