#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Borussia Dortmund,BVB,14,8,4,2,26:9,17,28
2,Bor. Mönchengladbach,BMG,13,7,1,5,14:8,6,22
3,Bayern München,FCB,13,6,3,4,21:13,8,21
4,Bayer Leverkusen,B04,14,5,4,5,18:18,0,19
5,FC Schalke 04,S04,13,6,1,6,21:22,-1,19
6,Hamburger SV,HSV,13,4,4,5,14:22,-8,16
7,1899 Hoffenheim,TSG,14,5,1,8,17:26,-9,16
8,VfB Stuttgart,VFB,13,4,3,6,19:21,-2,15
9,Hertha BSC,BSC,14,3,5,6,16:28,-12,14
10,1. FC Nürnberg,FCN,14,4,1,9,9:20,-11,13
11,Werder Bremen,SVW,14,3,4,7,15:27,-12,13
12,Hannover 96,H96,14,2,5,7,10:23,-13,11
13,1. FC Köln,KOE,13,3,2,8,17:33,-16,11
14,1. FSV Mainz 05,M05,13,1,7,5,16:21,-5,10
15,1. FC Kaiserslautern,FCK,14,1,6,7,8:20,-12,9
16,FC Augsburg,FCA,14,1,6,7,13:27,-14,9
17,SC Freiburg,SCF,13,2,3,8,17:36,-19,9
18,VfL Wolfsburg,WOB,13,2,2,9,12:32,-20,8
