#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,RB Leipzig,RBL,2,2,0,0,7:1,6,6
2,Bayern München,FCB,1,1,0,0,3:0,3,3
2,VfL Wolfsburg,WOB,1,1,0,0,3:0,3,3
4,Bayer Leverkusen,B04,1,1,0,0,3:1,2,3
4,Bor. Mönchengladbach,BMG,1,1,0,0,3:1,2,3
4,SC Freiburg,SCF,1,1,0,0,3:1,2,3
7,Fortuna Düsseldorf,F95,2,1,0,1,4:3,1,3
8,Borussia Dortmund,BVB,2,1,0,1,4:4,0,3
9,1. FC Köln,KOE,2,1,0,1,3:3,0,3
10,1. FC Union Berlin,FCU,1,0,1,0,1:1,0,1
11,FC Schalke 04,S04,1,0,1,0,0:0,0,1
12,SC Paderborn 07,SCP,2,0,1,1,3:4,-1,1
13,1899 Hoffenheim,TSG,2,0,1,1,0:1,-1,1
14,Hertha BSC,BSC,2,0,1,1,2:5,-3,1
15,Werder Bremen,SVW,1,0,0,1,2:3,-1,0
16,Eintracht Frankfurt,SGE,1,0,0,1,1:2,-1,0
17,FC Augsburg,FCA,2,0,0,2,3:8,-5,0
18,1. FSV Mainz 05,M05,2,0,0,2,1:9,-8,0
