#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Bayern München,FCB,6,5,1,0,19:3,16,16
2,RB Leipzig,RBL,6,5,1,0,13:5,8,16
3,VfB Stuttgart,VFB,6,5,1,0,9:2,7,16
4,FC Schalke 04,S04,7,4,2,1,11:6,5,14
5,1. FSV Mainz 05,M05,7,4,1,2,11:8,3,13
6,Bor. Mönchengladbach,BMG,7,4,1,2,9:9,0,13
7,Bayer Leverkusen,B04,6,3,3,0,15:7,8,12
8,1899 Hoffenheim,TSG,7,3,3,1,10:7,3,12
9,Hannover 96,H96,6,3,2,1,9:5,4,11
10,FC Augsburg,FCA,7,3,2,2,11:8,3,11
11,Hertha BSC,BSC,7,3,2,2,11:11,0,11
12,Borussia Dortmund,BVB,6,3,1,2,20:11,9,10
13,SC Freiburg,SCF,7,2,4,1,7:6,1,10
14,Hamburger SV,HSV,7,3,1,3,7:7,0,10
15,VfL Wolfsburg,WOB,7,1,5,1,10:11,-1,8
16,Eintracht Frankfurt,SGE,6,2,1,3,7:8,-1,7
17,Werder Bremen,SVW,6,1,1,4,5:9,-4,4
18,1. FC Köln,KOE,6,0,1,5,2:11,-9,1
