#,Mannschaft,Mannschaft_Code,Sp.,S,U,N,Tore,Diff.,Pkt.
1,Fortuna Düsseldorf,F95,3,2,1,0,4:0,4,7
2,Eintracht Frankfurt,SGE,2,2,0,0,6:1,5,6
3,Bayern München,FCB,2,2,0,0,5:0,5,6
4,1. FC Nürnberg,FCN,3,2,0,1,5:6,-1,6
5,FC Schalke 04,S04,2,1,1,0,4:2,2,4
6,SpVgg Greuther Fürth,SGF,2,1,1,0,2:1,1,4
7,VfL Wolfsburg,WOB,3,1,1,1,1:3,-2,4
8,Hannover 96,H96,2,1,0,1,5:3,2,3
9,1899 Hoffenheim,TSG,3,1,0,2,7:7,0,3
10,Werder Bremen,SVW,3,1,0,2,5:6,-1,3
11,Bayer Leverkusen,B04,3,1,0,2,4:6,-2,3
12,Bor. Mönchengladbach,BMG,2,0,2,0,1:1,0,2
13,Borussia Dortmund,BVB,3,0,2,1,6:7,-1,2
14,SC Freiburg,SCF,2,0,1,1,0:2,-2,1
15,Hamburger SV,HSV,3,0,1,2,4:7,-3,1
16,VfB Stuttgart,VFB,2,0,1,1,3:8,-5,1
17,1. FSV Mainz 05,M05,3,0,1,2,2:7,-5,1
18,FC Augsburg,FCA,2,0,0,2,1:5,-4,0
